season,season_weeks,voting_method,week_1_elimination,week_2_elimination,week_3_elimination,week_4_elimination,week_5_elimination,week_6_elimination,week_7_elimination,week_8_elimination,week_9_elimination,week_10_elimination,week_11_elimination
1,6,rank_v1,0,1,1,1,1,2,0,0,0,0,0
2,8,rank_v1,1,1,1,1,1,1,1,3,0,0,0
3,10,percentage,1,1,1,1,2,0,1,1,1,2,0
4,10,percentage,0,1,1,1,1,1,1,1,1,3,0
5,10,percentage,1,1,1,1,1,1,1,1,1,3,0
6,10,percentage,0,2,1,1,1,1,1,1,1,3,0
7,10,percentage,2,2,0,1,1,1,1,1,1,3,0
8,11,percentage,0,1,1,2,1,1,1,1,1,1,3
9,10,percentage,2,1,2,1,1,2,2,1,1,3,0
10,10,percentage,0,1,1,1,1,1,1,1,1,3,0
11,10,percentage,1,1,1,1,1,1,1,1,1,3,0
12,10,percentage,0,1,1,1,1,1,1,1,1,3,0
13,10,percentage,1,1,1,1,1,1,1,1,1,3,0
14,10,percentage,0,1,1,1,1,1,1,2,1,3,0
15,10,percentage,1,1,2,1,0,1,0,2,2,3,0
16,10,percentage,0,1,1,1,1,1,1,1,1,4,0
17,11,percentage,0,1,1,1,1,0,1,1,1,1,4
18,10,percentage,1,2,0,0,1,1,1,1,1,4,0
19,11,percentage,1,1,1,1,0,1,1,1,1,1,4
20,10,percentage,0,1,1,1,1,1,1,2,1,3,0
21,11,percentage,0,3,0,1,0,1,1,1,2,0,4
22,10,percentage,0,1,1,1,0,1,2,1,2,3,0
23,11,percentage,0,1,1,2,0,1,1,1,1,1,4
24,10,percentage,0,1,1,1,1,1,2,1,1,3,0
25,10,percentage,0,2,0,1,1,1,2,1,1,4,0
26,4,percentage,2,2,3,3,0,0,0,0,0,0,0
27,9,percentage,1,1,1,1,0,1,2,2,4,0,0
28,11,rank_v2,0,2,0,1,0,1,1,1,1,1,4
29,11,rank_v2,0,1,1,1,1,1,2,1,1,2,4
30,10,rank_v2,0,1,1,2,1,1,1,2,2,4,0
31,10,rank_v2,1,1,1,1,2,1,1,2,2,4,0
32,11,rank_v2,1,1,1,1,1,1,1,1,1,0,5
33,9,rank_v2,0,2,2,1,1,1,1,0,5,0,0
34,11,rank_v2,0,2,1,1,0,1,1,1,1,1,5
