contestant_id,celebrity_name,season,weeks_competed,season_total_score,season_avg_weekly_score,season_avg_score,score_stddev,avg_rank,weeks_ranked_first,voting_method,celebrity_name_right,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season_right,results,placement,is_controversy
John O'Hurley_S1,John O'Hurley,1,6,145.0,24.166666666666668,8.055555555555555,3.060501048303474,1.8333333333333333,2,rank_v1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,false
Trista Sutter_S1,Trista Sutter,1,2,37.0,18.5,6.166666666666666,0.7071067811865476,4.0,0,rank_v1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,false
Rachel Hunter_S1,Rachel Hunter,1,4,95.0,23.75,7.916666666666667,2.6299556396765835,1.5,2,rank_v1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,false
Evander Holyfield_S1,Evander Holyfield,1,3,45.0,15.0,5.0,2.6457513110645907,5.333333333333333,0,rank_v1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,false
Joey McIntyre_S1,Joey McIntyre,1,5,105.5,21.1,7.033333333333333,1.1401754250991376,3.2,0,rank_v1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,false
Kelly Monaco_S1,Kelly Monaco,1,6,128.0,21.333333333333332,7.111111111111111,5.5287129303904585,3.1666666666666665,2,rank_v1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,false
Tatum O'Neal_S2,Tatum O'Neal,2,2,40.0,20.0,6.666666666666667,4.242640687119285,5.0,0,rank_v1,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,false
Drew Lachey_S2,Drew Lachey,2,8,219.4998,27.437475,9.145825,1.761416841839059,1.375,5,rank_v1,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,false
Kenny Mayne_S2,Kenny Mayne,2,1,13.0,13.0,4.333333333333333,,9.0,0,rank_v1,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,false
Giselle Fernandez_S2,Giselle Fernandez,2,3,69.0,23.0,7.666666666666667,1.0,4.0,0,rank_v1,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,false
