contestant_id,celebrity_name,season,week,total_score,avg_score,judge_count,min_score,max_score,week_rank
Rachel Hunter_S1,Rachel Hunter,1,1,20.0,6.666666666666667,3,6.0,7.0,1
John O'Hurley_S1,John O'Hurley,1,1,20.0,6.666666666666667,3,6.0,7.0,2
Joey McIntyre_S1,Joey McIntyre,1,1,20.0,6.666666666666667,3,6.0,7.0,3
Trista Sutter_S1,Trista Sutter,1,1,18.0,6.0,3,6.0,6.0,4
Evander Holyfield_S1,Evander Holyfield,1,1,18.0,6.0,3,5.0,7.0,5
Kelly Monaco_S1,Kelly Monaco,1,1,13.0,4.333333333333333,3,4.0,5.0,6
John O'Hurley_S1,John O'Hurley,1,2,26.0,8.666666666666666,3,8.0,9.0,1
Rachel Hunter_S1,Rachel Hunter,1,2,24.0,8.0,3,8.0,8.0,2
Joey McIntyre_S1,Joey McIntyre,1,2,21.0,7.0,3,6.0,8.0,3
Trista Sutter_S1,Trista Sutter,1,2,19.0,6.333333333333333,3,6.0,7.0,4
Kelly Monaco_S1,Kelly Monaco,1,2,17.0,5.666666666666667,3,5.0,6.0,5
Evander Holyfield_S1,Evander Holyfield,1,2,14.0,4.666666666666667,3,4.0,5.0,6
Rachel Hunter_S1,Rachel Hunter,1,3,26.0,8.666666666666666,3,8.0,9.0,1
John O'Hurley_S1,John O'Hurley,1,3,24.0,8.0,3,7.0,9.0,2
Joey McIntyre_S1,Joey McIntyre,1,3,22.0,7.333333333333333,3,7.0,8.0,3
Kelly Monaco_S1,Kelly Monaco,1,3,21.0,7.0,3,6.0,8.0,4
Evander Holyfield_S1,Evander Holyfield,1,3,13.0,4.333333333333333,3,4.0,5.0,5
Kelly Monaco_S1,Kelly Monaco,1,4,26.0,8.666666666666666,3,8.0,9.0,1
Rachel Hunter_S1,Rachel Hunter,1,4,25.0,8.333333333333334,3,7.0,9.0,2
John O'Hurley_S1,John O'Hurley,1,4,21.0,7.0,3,6.0,8.0,3
Joey McIntyre_S1,Joey McIntyre,1,4,20.0,6.666666666666667,3,6.0,7.0,4
John O'Hurley_S1,John O'Hurley,1,5,27.0,9.0,3,9.0,9.0,1
Kelly Monaco_S1,Kelly Monaco,1,5,23.5,7.833333333333333,3,7.5,8.5,2
Joey McIntyre_S1,Joey McIntyre,1,5,22.5,7.5,3,7.0,8.5,3
Kelly Monaco_S1,Kelly Monaco,1,6,27.5,9.166666666666666,3,8.5,9.5,1
