contestant_id,celebrity_name,season,week,total_score,avg_score,judge_count,min_score,max_score,week_rank,prev_week_score,cum_avg_score,diff_prev_week,diff_cum_avg
Evander Holyfield_S1,Evander Holyfield,1,1,18.0,6.0,3,5.0,7.0,5,,18.0,,0.0
Joey McIntyre_S1,Joey McIntyre,1,1,20.0,6.666666666666667,3,6.0,7.0,3,,20.0,,0.0
John O'Hurley_S1,John O'Hurley,1,1,20.0,6.666666666666667,3,6.0,7.0,2,,20.0,,0.0
Trista Sutter_S1,Trista Sutter,1,1,18.0,6.0,3,6.0,6.0,4,,18.0,,0.0
Kelly Monaco_S1,Kelly Monaco,1,1,13.0,4.333333333333333,3,4.0,5.0,6,,13.0,,0.0
Rachel Hunter_S1,Rachel Hunter,1,1,20.0,6.666666666666667,3,6.0,7.0,1,,20.0,,0.0
Evander Holyfield_S1,Evander Holyfield,1,2,14.0,4.666666666666667,3,4.0,5.0,6,18.0,16.0,-4.0,-2.0
Rachel Hunter_S1,Rachel Hunter,1,2,24.0,8.0,3,8.0,8.0,2,20.0,22.0,4.0,2.0
Kelly Monaco_S1,Kelly Monaco,1,2,17.0,5.666666666666667,3,5.0,6.0,5,13.0,15.0,4.0,2.0
Trista Sutter_S1,Trista Sutter,1,2,19.0,6.333333333333333,3,6.0,7.0,4,18.0,18.5,1.0,0.5
Joey McIntyre_S1,Joey McIntyre,1,2,21.0,7.0,3,6.0,8.0,3,20.0,20.5,1.0,0.5
John O'Hurley_S1,John O'Hurley,1,2,26.0,8.666666666666666,3,8.0,9.0,1,20.0,23.0,6.0,3.0
Rachel Hunter_S1,Rachel Hunter,1,3,26.0,8.666666666666666,3,8.0,9.0,1,24.0,23.333333333333332,2.0,2.666666666666668
Kelly Monaco_S1,Kelly Monaco,1,3,21.0,7.0,3,6.0,8.0,4,17.0,17.0,4.0,4.0
Evander Holyfield_S1,Evander Holyfield,1,3,13.0,4.333333333333333,3,4.0,5.0,5,14.0,15.0,-1.0,-2.0
Joey McIntyre_S1,Joey McIntyre,1,3,22.0,7.333333333333333,3,7.0,8.0,3,21.0,21.0,1.0,1.0
John O'Hurley_S1,John O'Hurley,1,3,24.0,8.0,3,7.0,9.0,2,26.0,23.333333333333332,-2.0,0.6666666666666679
John O'Hurley_S1,John O'Hurley,1,4,21.0,7.0,3,6.0,8.0,3,24.0,22.75,-3.0,-1.75
Joey McIntyre_S1,Joey McIntyre,1,4,20.0,6.666666666666667,3,6.0,7.0,4,22.0,20.75,-2.0,-0.75
Kelly Monaco_S1,Kelly Monaco,1,4,26.0,8.666666666666666,3,8.0,9.0,1,21.0,19.25,5.0,6.75
Rachel Hunter_S1,Rachel Hunter,1,4,25.0,8.333333333333334,3,7.0,9.0,2,26.0,23.75,-1.0,1.25
Kelly Monaco_S1,Kelly Monaco,1,5,23.5,7.833333333333333,3,7.5,8.5,2,26.0,20.1,-2.5,3.3999999999999986
Joey McIntyre_S1,Joey McIntyre,1,5,22.5,7.5,3,7.0,8.5,3,20.0,21.1,2.5,1.3999999999999986
John O'Hurley_S1,John O'Hurley,1,5,27.0,9.0,3,9.0,9.0,1,21.0,23.6,6.0,3.3999999999999986
Kelly Monaco_S1,Kelly Monaco,1,6,27.5,9.166666666666666,3,8.5,9.5,1,23.5,21.333333333333332,4.0,6.166666666666668
John O'Hurley_S1,John O'Hurley,1,6,27.0,9.0,3,9.0,9.0,2,27.0,24.166666666666668,0.0,2.833333333333332
Stacy Keibler_S2,Stacy Keibler,2,1,22.0,7.333333333333333,3,6.0,8.0,4,,22.0,,0.0
Lisa Rinna_S2,Lisa Rinna,2,1,19.0,6.333333333333333,3,5.0,7.0,7,,19.0,,0.0
Jerry Rice_S2,Jerry Rice,2,1,21.0,7.0,3,7.0,7.0,5,,21.0,,0.0
Tia Carrere_S2,Tia Carrere,2,1,20.0,6.666666666666667,3,6.0,7.0,6,,20.0,,0.0
Giselle Fernandez_S2,Giselle Fernandez,2,1,23.0,7.666666666666667,3,7.0,8.0,3,,23.0,,0.0
George Hamilton_S2,George Hamilton,2,1,18.0,6.0,3,5.0,7.0,8,,18.0,,0.0
Tatum O'Neal_S2,Tatum O'Neal,2,1,23.0,7.666666666666667,3,7.0,8.0,2,,23.0,,0.0
Kenny Mayne_S2,Kenny Mayne,2,1,13.0,4.333333333333333,3,4.0,5.0,9,,13.0,,0.0
Drew Lachey_S2,Drew Lachey,2,1,24.0,8.0,3,8.0,8.0,1,,24.0,,0.0
Master P_S2,Master P,2,1,12.0,4.0,3,4.0,4.0,10,,12.0,,0.0
Stacy Keibler_S2,Stacy Keibler,2,2,29.0,9.666666666666666,3,9.0,10.0,1,22.0,25.5,7.0,3.5
Master P_S2,Master P,2,2,16.0,5.333333333333333,3,5.0,6.0,9,12.0,14.0,4.0,2.0
Lisa Rinna_S2,Lisa Rinna,2,2,20.0,6.666666666666667,3,6.0,7.0,7,19.0,19.5,1.0,0.5
George Hamilton_S2,George Hamilton,2,2,22.0,7.333333333333333,3,7.0,8.0,6,18.0,20.0,4.0,2.0
Drew Lachey_S2,Drew Lachey,2,2,27.0,9.0,3,9.0,9.0,2,24.0,25.5,3.0,1.5
Tatum O'Neal_S2,Tatum O'Neal,2,2,17.0,5.666666666666667,3,5.0,6.0,8,23.0,20.0,-6.0,-3.0
Tia Carrere_S2,Tia Carrere,2,2,22.0,7.333333333333333,3,7.0,8.0,5,20.0,21.0,2.0,1.0
Jerry Rice_S2,Jerry Rice,2,2,23.0,7.666666666666667,3,7.0,8.0,4,21.0,22.0,2.0,1.0
Giselle Fernandez_S2,Giselle Fernandez,2,2,24.0,8.0,3,8.0,8.0,3,23.0,23.5,1.0,0.5
Drew Lachey_S2,Drew Lachey,2,3,27.0,9.0,3,9.0,9.0,1,27.0,26.0,0.0,1.0
Stacy Keibler_S2,Stacy Keibler,2,3,27.0,9.0,3,9.0,9.0,2,29.0,26.0,-2.0,1.0
Jerry Rice_S2,Jerry Rice,2,3,19.0,6.333333333333333,3,6.0,7.0,7,23.0,21.0,-4.0,-2.0
Tia Carrere_S2,Tia Carrere,2,3,26.0,8.666666666666666,3,8.0,9.0,3,22.0,22.666666666666668,4.0,3.333333333333332
Lisa Rinna_S2,Lisa Rinna,2,3,25.0,8.333333333333334,3,8.0,9.0,4,20.0,21.333333333333332,5.0,3.666666666666668
Master P_S2,Master P,2,3,14.0,4.666666666666667,3,4.0,6.0,8,16.0,14.0,-2.0,0.0
Giselle Fernandez_S2,Giselle Fernandez,2,3,22.0,7.333333333333333,3,7.0,8.0,6,24.0,23.0,-2.0,-1.0
George Hamilton_S2,George Hamilton,2,3,22.0,7.333333333333333,3,7.0,8.0,5,22.0,20.666666666666668,0.0,1.3333333333333321
Tia Carrere_S2,Tia Carrere,2,4,25.0,8.333333333333334,3,8.0,9.0,4,26.0,23.25,-1.0,1.75
George Hamilton_S2,George Hamilton,2,4,21.0,7.0,3,7.0,7.0,6,22.0,20.75,-1.0,0.25
Lisa Rinna_S2,Lisa Rinna,2,4,26.0,8.666666666666666,3,8.0,9.0,2,25.0,22.5,1.0,3.5
Jerry Rice_S2,Jerry Rice,2,4,24.0,8.0,3,8.0,8.0,5,19.0,21.75,5.0,2.25
Drew Lachey_S2,Drew Lachey,2,4,28.0,9.333333333333334,3,9.0,10.0,1,27.0,26.5,1.0,1.5
Master P_S2,Master P,2,4,8.0,2.6666666666666665,3,2.0,4.0,7,14.0,12.5,-6.0,-4.5
Stacy Keibler_S2,Stacy Keibler,2,4,26.0,8.666666666666666,3,8.0,9.0,3,27.0,26.0,-1.0,0.0
Lisa Rinna_S2,Lisa Rinna,2,5,25.0,8.333333333333334,3,7.0,9.0,3,26.0,23.0,-1.0,2.0
Jerry Rice_S2,Jerry Rice,2,5,23.0,7.666666666666667,3,7.0,8.0,5,24.0,22.0,-1.0,1.0
Drew Lachey_S2,Drew Lachey,2,5,27.0,9.0,3,9.0,9.0,2,28.0,26.6,-1.0,0.3999999999999986
Tia Carrere_S2,Tia Carrere,2,5,22.0,7.333333333333333,3,7.0,8.0,6,25.0,23.0,-3.0,-1.0
Stacy Keibler_S2,Stacy Keibler,2,5,30.0,10.0,3,10.0,10.0,1,26.0,26.8,4.0,3.1999999999999993
George Hamilton_S2,George Hamilton,2,5,24.0,8.0,3,8.0,8.0,4,21.0,21.4,3.0,2.6000000000000014
Lisa Rinna_S2,Lisa Rinna,2,6,27.0,9.0,3,9.0,9.0,3,25.0,23.666666666666668,2.0,3.333333333333332
Drew Lachey_S2,Drew Lachey,2,6,30.0,10.0,3,10.0,10.0,2,27.0,27.166666666666668,3.0,2.833333333333332
Jerry Rice_S2,Jerry Rice,2,6,23.0,7.666666666666667,3,7.0,8.0,5,23.0,22.166666666666668,0.0,0.8333333333333321
Stacy Keibler_S2,Stacy Keibler,2,6,30.0,10.0,3,10.0,10.0,1,30.0,27.333333333333332,0.0,2.666666666666668
George Hamilton_S2,George Hamilton,2,6,23.0,7.666666666666667,3,7.0,8.0,4,24.0,21.666666666666668,-1.0,1.3333333333333321
Jerry Rice_S2,Jerry Rice,2,7,20.5,6.833333333333333,3,6.5,7.0,4,23.0,21.928571428571427,-2.5,-1.428571428571427
Stacy Keibler_S2,Stacy Keibler,2,7,27.5,9.166666666666666,3,9.0,9.5,2,30.0,27.357142857142858,-2.5,0.14285714285714235
Lisa Rinna_S2,Lisa Rinna,2,7,26.5,8.833333333333334,3,8.5,9.0,3,27.0,24.071428571428573,-0.5,2.428571428571427
