season,week,contestant_id,fan_percent,judge_percent,week_left,fan_rank,judge_rank,rank_rank,rev_rank_rank,percent_rank,rev_percent_rank,week_rank,season_weeks,voting_method,week_elim,max_week_in_season,rank_rank_is_eliminated,percent_rank_is_eliminated,placement_rank_rank,placement_percent_rank
2,1,Jerry Rice_S2,0.10313272225176108,0.1076923076923077,10,5,5,4,7,5,6,5,8,rank_v1,1,8,false,false,,
2,2,Jerry Rice_S2,0.11387256185991346,0.115,9,5,4,5,5,3,7,4,8,rank_v1,1,8,false,false,,
2,3,Jerry Rice_S2,0.14110341427318487,0.1043956043956044,8,2,7,5,3,6,3,7,8,rank_v1,1,8,false,false,,
2,4,Jerry Rice_S2,0.15210528556893457,0.1518987341772152,7,2,5,4,4,5,3,5,8,rank_v1,1,8,false,false,,
2,5,Jerry Rice_S2,0.18745516991337755,0.152317880794702,6,1,5,3,4,3,4,5,8,rank_v1,1,8,false,false,,
2,6,Jerry Rice_S2,0.21462158344130422,0.17293233082706766,5,1,4,3,3,4,2,5,8,rank_v1,1,8,false,false,,
2,7,Jerry Rice_S2,0.29790134530165235,0.20098039215686275,4,1,4,3,2,3,2,4,8,rank_v1,1,8,false,false,,
2,8,Jerry Rice_S2,0.38455222598148237,0.3162063678588072,3,1,3,2,2,1,3,3,8,rank_v1,3,8,true,true,2,1
4,1,Billy Ray Cyrus_S4,0.09396926223657337,0.06310679611650485,11,5,11,9,3,11,1,11,10,percentage,0,10,false,false,,
4,2,Billy Ray Cyrus_S4,0.09781463381365517,0.08571428571428572,11,2,7,2,9,5,7,7,10,percentage,1,10,false,false,,
4,3,Billy Ray Cyrus_S4,0.10637536224540428,0.0963302752293578,10,3,7,4,7,6,5,6,10,percentage,1,10,false,false,,
4,4,Billy Ray Cyrus_S4,0.11404443246614707,0.11052631578947368,9,6,5,7,3,5,5,6,10,percentage,1,10,false,false,,
4,5,Billy Ray Cyrus_S4,0.13372889670639054,0.09659090909090909,8,1,7,4,5,7,2,7,10,percentage,1,10,false,false,,
4,6,Billy Ray Cyrus_S4,0.15496356847282244,0.12352941176470589,7,2,6,5,3,5,3,6,10,percentage,1,10,false,false,,
4,7,Billy Ray Cyrus_S4,0.1906948107176444,0.12297734627831715,6,1,6,4,2,5,2,6,10,percentage,1,10,false,false,,
4,8,Billy Ray Cyrus_S4,0.16521818718112108,0.15139442231075698,5,5,5,5,1,5,1,5,10,percentage,1,10,true,true,,
11,1,Bristol Palin_S11,0.08314173376649224,0.07929515418502203,12,10,7,10,3,8,5,8,10,percentage,1,10,false,false,,
11,2,Bristol Palin_S11,0.09367152491337817,0.09954751131221719,11,4,3,2,9,3,9,4,10,percentage,1,10,false,false,,
11,3,Bristol Palin_S11,0.10540119019284278,0.08597285067873303,10,1,9,6,5,8,3,9,10,percentage,1,10,false,false,,
11,4,Bristol Palin_S11,0.11742383550639414,0.0893854748603352,9,3,8,8,2,8,2,8,10,percentage,1,10,false,false,,
11,5,Bristol Palin_S11,0.13784176312024637,0.0989010989010989,8,1,8,5,3,7,2,8,10,percentage,1,10,false,false,,
11,6,Bristol Palin_S11,0.1513310502906762,0.13526519171803963,7,4,6,7,1,5,3,6,10,percentage,1,10,true,false,,
11,7,Bristol Palin_S11,0.18002534536772472,0.15587529976019185,6,2,6,4,2,5,2,6,10,percentage,1,10,false,false,,
11,8,Bristol Palin_S11,0.2195664993927528,0.17735849056603772,5,1,5,4,2,4,2,5,10,percentage,1,10,false,false,,
11,9,Bristol Palin_S11,0.276751265572866,0.2324561403508772,4,1,4,3,2,3,2,4,10,percentage,1,10,false,false,,
11,10,Bristol Palin_S11,0.2670607878868056,0.3092368897274451,3,3,3,3,1,3,1,3,10,percentage,3,10,true,true,3,3
27,1,Bobby Bones_S27,0.06908715353505504,0.0784313725490196,13,12,6,12,2,11,3,5,9,percentage,1,9,false,false,,
27,2,Bobby Bones_S27,0.0810531801322702,0.07208872458410351,12,10,10,11,2,11,2,10,9,percentage,1,9,false,false,,
27,3,Bobby Bones_S27,0.08365444820374453,0.08487084870848709,11,10,8,10,2,9,3,8,9,percentage,1,9,false,false,,
27,4,Bobby Bones_S27,0.0988976997056343,0.08620689655172414,10,9,9,10,1,8,3,9,9,percentage,1,9,true,false,,
27,5,Bobby Bones_S27,0.0920854681405823,0.0945945945945946,9,9,8,9,1,9,1,8,9,percentage,0,9,false,false,,
27,6,Bobby Bones_S27,0.1074462611225398,0.09606986899563319,9,8,7,8,1,8,2,7,9,percentage,1,9,true,false,,
27,7,Bobby Bones_S27,0.12958062242475485,0.12183908045977011,8,6,6,6,3,6,3,7,9,percentage,2,9,false,false,,
27,8,Bobby Bones_S27,0.19210811951692405,0.13975155279503104,6,2,6,4,2,4,3,6,9,percentage,2,9,true,false,,
27,9,Bobby Bones_S27,0.319890159626419,0.23376623376623376,4,1,4,3,2,1,4,4,9,percentage,4,9,true,true,3,1
