season,week,contestant_id,fan_percent,judge_percent,week_left,fan_rank,judge_rank,rank_rank,rev_rank_rank,percent_rank,rev_percent_rank,week_rank,season_weeks,voting_method,week_elim,max_week_in_season,rank_rank_is_eliminated,percent_rank_is_eliminated,placement_rank_rank,placement_percent_rank
1,1,Evander Holyfield_S1,0.17241961900573974,0.1651376146788991,6,3,4,3,4,3,4,5,6,rank_v1,0,6,false,false,,
1,1,Joey McIntyre_S1,0.16770444464477768,0.1834862385321101,6,5,2,3,4,2,5,3,6,rank_v1,0,6,false,false,,
1,1,John O'Hurley_S1,0.1726220271887241,0.1834862385321101,6,2,2,1,6,1,6,2,6,rank_v1,0,6,false,false,,
1,1,Kelly Monaco_S1,0.17328374973011942,0.11926605504587157,6,1,6,3,4,6,1,6,6,rank_v1,0,6,false,false,,
1,1,Rachel Hunter_S1,0.1451327927716438,0.1834862385321101,6,6,2,5,1,5,2,1,6,rank_v1,0,6,false,false,,
1,1,Trista Sutter_S1,0.16883736665899537,0.1651376146788991,6,4,4,5,1,4,3,4,6,rank_v1,0,6,false,false,,
1,2,Evander Holyfield_S1,0.20500052418654624,0.11570247933884298,6,1,6,4,3,5,2,6,6,rank_v1,1,6,false,false,,
1,2,Joey McIntyre_S1,0.17404392873611574,0.17355371900826447,6,3,3,2,5,2,5,3,6,rank_v1,1,6,false,false,,
1,2,John O'Hurley_S1,0.17087392153422762,0.21487603305785125,6,4,1,1,6,1,6,1,6,rank_v1,1,6,false,false,,
1,2,Kelly Monaco_S1,0.18826022841012094,0.14049586776859505,6,2,5,4,3,4,3,5,6,rank_v1,1,6,false,false,,
1,2,Rachel Hunter_S1,0.14033548122822698,0.19834710743801653,6,5,2,4,3,3,4,2,6,rank_v1,1,6,false,false,,
1,2,Trista Sutter_S1,0.12148591590476127,0.15702479338842976,6,6,4,6,1,6,1,4,6,rank_v1,1,6,true,true,,
1,3,Evander Holyfield_S1,0.18351336075987137,0.12264150943396226,5,4,5,5,1,5,1,5,6,rank_v1,1,6,true,true,,
1,3,Joey McIntyre_S1,0.20966288994042434,0.20754716981132076,5,2,3,2,4,4,2,3,6,rank_v1,1,6,false,false,,
1,3,John O'Hurley_S1,0.20756516212744583,0.22641509433962265,5,3,2,2,4,1,5,2,6,rank_v1,1,6,false,false,,
1,3,Kelly Monaco_S1,0.22219985985309187,0.19811320754716982,5,1,4,2,4,3,3,4,6,rank_v1,1,6,false,false,,
1,3,Rachel Hunter_S1,0.1770587273191666,0.24528301886792453,5,5,1,4,2,2,4,1,6,rank_v1,1,6,false,false,,
1,4,Joey McIntyre_S1,0.3170583631490104,0.21739130434782608,4,1,4,2,2,1,4,4,6,rank_v1,1,6,false,false,,
1,4,John O'Hurley_S1,0.27220634031508795,0.22826086956521738,4,2,3,2,2,3,2,3,6,rank_v1,1,6,false,false,,
1,4,Kelly Monaco_S1,0.2325943325735733,0.2826086956521739,4,3,1,1,4,2,3,1,6,rank_v1,1,6,false,false,,
1,4,Rachel Hunter_S1,0.17814096396232962,0.2717391304347826,4,4,2,4,1,4,1,2,6,rank_v1,1,6,true,true,,
1,5,Joey McIntyre_S1,0.31825280797712496,0.3082191780821918,3,3,3,3,1,3,1,3,6,rank_v1,1,6,true,true,,
1,5,John O'Hurley_S1,0.3326259641968195,0.3698630136986301,3,2,1,1,2,1,3,1,6,rank_v1,1,6,false,false,,
1,5,Kelly Monaco_S1,0.34912122782605537,0.3219178082191781,3,1,2,1,2,2,2,2,6,rank_v1,1,6,false,false,,
1,6,John O'Hurley_S1,0.4254459631813835,0.4954128440366973,2,2,2,2,1,2,1,2,6,rank_v1,2,6,true,true,2,2
1,6,Kelly Monaco_S1,0.574554036818616,0.5045871559633027,2,1,1,1,2,1,2,1,6,rank_v1,2,6,true,true,1,1
2,1,Drew Lachey_S2,0.1015467752569365,0.12307692307692308,10,7,1,2,9,1,10,1,8,rank_v1,1,8,false,false,,
2,1,George Hamilton_S2,0.10592644663823435,0.09230769230769231,10,3,8,6,5,8,3,8,8,rank_v1,1,8,false,false,,
2,1,Giselle Fernandez_S2,0.09758116914196349,0.11794871794871795,10,9,2,6,5,3,8,3,8,rank_v1,1,8,false,false,,
2,1,Jerry Rice_S2,0.10313272225176108,0.1076923076923077,10,5,5,4,7,5,6,5,8,rank_v1,1,8,false,false,,
2,1,Kenny Mayne_S2,0.06357907619585228,0.06666666666666667,10,10,9,10,1,10,1,9,8,rank_v1,1,8,true,true,,
2,1,Lisa Rinna_S2,0.10745779026696521,0.09743589743589744,10,2,7,3,8,7,4,7,8,rank_v1,1,8,false,false,,
2,1,Master P_S2,0.1134305098709769,0.06153846153846154,10,1,10,6,5,9,2,10,8,rank_v1,1,8,false,false,,
2,1,Stacy Keibler_S2,0.1013082740143744,0.11282051282051282,10,8,4,8,2,4,7,4,8,rank_v1,1,8,false,false,,
2,1,Tatum O'Neal_S2,0.10341912297986748,0.11794871794871795,10,4,2,1,10,2,9,2,8,rank_v1,1,8,false,false,,
2,1,Tia Carrere_S2,0.1026181133830704,0.10256410256410256,10,6,6,8,2,6,5,6,8,rank_v1,1,8,false,false,,
2,2,Drew Lachey_S2,0.11187225285967305,0.135,9,6,2,2,8,2,8,2,8,rank_v1,1,8,false,false,,
2,2,George Hamilton_S2,0.11589627169308035,0.11,9,4,5,5,5,5,5,6,8,rank_v1,1,8,false,false,,
2,2,Giselle Fernandez_S2,0.10520401788732456,0.12,9,8,3,8,2,6,4,3,8,rank_v1,1,8,false,false,,
2,2,Jerry Rice_S2,0.11387256185991346,0.115,9,5,4,5,5,3,7,4,8,rank_v1,1,8,false,false,,
2,2,Lisa Rinna_S2,0.11961440995940807,0.1,9,2,7,5,5,7,3,7,8,rank_v1,1,8,false,false,,
2,2,Master P_S2,0.12290500344232953,0.08,9,1,9,7,3,8,2,9,8,rank_v1,1,8,false,false,,
2,2,Stacy Keibler_S2,0.1107501298381871,0.145,9,7,1,2,8,1,9,1,8,rank_v1,1,8,false,false,,
2,2,Tatum O'Neal_S2,0.08384026734098829,0.085,9,9,8,9,1,9,1,8,8,rank_v1,1,8,true,true,,
2,2,Tia Carrere_S2,0.11604508511909849,0.11,9,3,5,2,8,4,6,5,8,rank_v1,1,8,false,false,,
2,3,Drew Lachey_S2,0.12447017792734814,0.14835164835164835,8,7,1,3,5,2,7,1,8,rank_v1,1,8,false,false,,
2,3,George Hamilton_S2,0.13076862988314075,0.12087912087912088,8,3,5,3,5,5,4,5,8,rank_v1,1,8,false,false,,
2,3,Giselle Fernandez_S2,0.08768440938542235,0.12087912087912088,8,8,5,8,1,8,1,6,8,rank_v1,1,8,true,true,,
2,3,Jerry Rice_S2,0.14110341427318487,0.1043956043956044,8,2,7,5,3,6,3,7,8,rank_v1,1,8,false,false,,
