season,week,n_contestants,n_simulations,ODP,Stability_A_contestant,Stability_A_prob,Stability_B_contestant,Stability_B_prob,Unique_Eliminated_A,Unique_Eliminated_B
1,1,6,1000,0.444,Kelly Monaco_S1,0.556,Kelly Monaco_S1,1.0,4,1
1,2,6,1000,0.999,Trista Sutter_S1,0.997,Evander Holyfield_S1,1.0,3,1
1,3,5,1000,0.001,Evander Holyfield_S1,0.999,Evander Holyfield_S1,1.0,2,1
1,4,4,1000,0.984,Rachel Hunter_S1,0.972,Joey McIntyre_S1,1.0,3,1
1,5,3,1000,0.025,Joey McIntyre_S1,0.975,Joey McIntyre_S1,1.0,2,1
1,6,2,1000,0.0,John O'Hurley_S1,1.0,John O'Hurley_S1,1.0,1,1
2,1,10,1000,1.0,Kenny Mayne_S2,1.0,Master P_S2,1.0,1,1
2,2,9,1000,0.997,Tatum O'Neal_S2,0.997,Master P_S2,1.0,2,1
2,3,8,1000,0.991,Giselle Fernandez_S2,0.988,Master P_S2,1.0,3,1
2,4,7,1000,0.0,Master P_S2,1.0,Master P_S2,1.0,1,1
2,5,6,1000,0.0,Tia Carrere_S2,1.0,Tia Carrere_S2,1.0,1,1
2,6,5,1000,0.0,George Hamilton_S2,1.0,George Hamilton_S2,1.0,1,1
2,7,4,1000,0.999,Lisa Rinna_S2,0.999,Jerry Rice_S2,1.0,2,1
2,8,3,1000,0.986,Stacy Keibler_S2,0.962,Jerry Rice_S2,1.0,3,1
3,1,11,1000,0.0,Tucker Carlson_S3,1.0,Tucker Carlson_S3,1.0,1,1
3,2,10,1000,0.729,Shanna Moakler_S3,0.588,Jerry Springer_S3,1.0,5,1
3,3,9,1000,0.913,Harry Hamlin_S3,0.502,Emmitt Smith_S3,1.0,3,1
3,4,8,1000,0.799,Vivica A. Fox_S3,0.684,Sara Evans_S3,1.0,3,1
3,5,7,1000,0.0,Sara Evans_S3,1.0,Sara Evans_S3,1.0,1,1
3,6,5,1000,0.242,Jerry Springer_S3,0.758,Jerry Springer_S3,1.0,4,1
3,7,5,1000,0.0,Jerry Springer_S3,1.0,Jerry Springer_S3,1.0,1,1
3,8,4,1000,0.0,Monique Coleman_S3,1.0,Monique Coleman_S3,1.0,1,1
3,9,3,1000,0.0,Joey Lawrence_S3,1.0,Joey Lawrence_S3,1.0,1,1
3,10,2,1000,0.0,Mario Lopez_S3,1.0,Mario Lopez_S3,1.0,1,1
4,1,11,1000,0.583,Heather Mills_S4,0.421,Billy Ray Cyrus_S4,1.0,7,1
4,2,11,1000,0.88,Shandi Finnessey_S4,0.538,Clyde Drexler_S4,1.0,3,1
4,3,10,1000,0.972,Shandi Finnessey_S4,0.769,Clyde Drexler_S4,1.0,3,1
4,4,9,1000,0.985,Leeza Gibbons_S4,0.985,Clyde Drexler_S4,1.0,2,1
