season,week,judge_impact_prob,theoretical_eliminated,actual_eliminated,n_simulations
28,1,0.59,Karamo Brown_S28,Karamo Brown_S28,100
28,2,0.62,Hannah Brown_S28,Karamo Brown_S28,100
28,3,0.58,Kate Flannery_S28,Kel Mitchell_S28,100
28,4,0.69,Kel Mitchell_S28,Karamo Brown_S28,100
28,5,0.59,Hannah Brown_S28,Hannah Brown_S28,100
28,6,0.57,Karamo Brown_S28,Karamo Brown_S28,100
28,7,0.6,Ally Brooke_S28,Kel Mitchell_S28,100
28,8,0.53,Kel Mitchell_S28,Kel Mitchell_S28,100
28,9,0.61,Kel Mitchell_S28,James Van Der Beek_S28,100
28,10,0.6,Kel Mitchell_S28,Lauren Alaina_S28,100
28,11,0.55,Kel Mitchell_S28,Hannah Brown_S28,100
29,1,0.61,Kaitlyn Bristowe_S29,Chrishell Stause_S29,100
29,2,0.62,Johnny Weir_S29,Carole Baskin_S29,100
29,3,0.61,Johnny Weir_S29,Jesse Metcalfe_S29,100
29,4,0.63,Justina Machado_S29,Veron Davis_S29,100
29,5,0.6,Kaitlyn Bristowe_S29,Chrishell Stause_S29,100
29,6,0.63,Justina Machado_S29,Chrishell Stause_S29,100
29,7,0.68,Johnny Weir_S29,AJ McLean_S29,100
29,8,0.54,AJ McLean_S29,AJ McLean_S29,100
29,9,0.71,Johnny Weir_S29,Justina Machado_S29,100
29,10,0.73,Kaitlyn Bristowe_S29,Justina Machado_S29,100
29,11,0.97,Kaitlyn Bristowe_S29,Nev Schulman_S29,100
30,1,0.65,JoJo Siwa_S30,Melora Hardin_S30,100
30,2,0.58,Olivia Jade_S30,Brian Austin Green_S30,100
30,3,0.67,Olivia Jade_S30,Jimmie Allen_S30,100
30,4,0.56,JoJo Siwa_S30,Iman Shumpert_S30,100
30,5,0.66,JoJo Siwa_S30,Melora Hardin_S30,100
30,6,0.64,Iman Shumpert_S30,Olivia Jade_S30,100
30,7,0.64,JoJo Siwa_S30,Iman Shumpert_S30,100
30,8,0.61,JoJo Siwa_S30,JoJo Siwa_S30,100
30,9,0.62,JoJo Siwa_S30,Iman Shumpert_S30,100
30,10,0.98,Iman Shumpert_S30,JoJo Siwa_S30,100
31,1,0.55,Gabby Windey_S31,Heidi D'Amelio_S31,100
31,2,0.62,Charli D'Amelio_S31,Heidi D'Amelio_S31,100
31,3,0.55,Charli D'Amelio_S31,Joseph Baena_S31,100
31,4,0.65,Charli D'Amelio_S31,Selma Blair_S31,100
31,5,0.57,Charli D'Amelio_S31,Jordin Sparks_S31,100
31,6,0.68,Charli D'Amelio_S31,Daniel Durant_S31,100
31,7,0.59,Charli D'Amelio_S31,Heidi D'Amelio_S31,100
31,8,0.69,Charli D'Amelio_S31,Trevor Donovan_S31,100
31,9,0.73,Charli D'Amelio_S31,Shangela_S31,100
31,10,0.87,Charli D'Amelio_S31,Wayne Brady_S31,100
32,1,0.54,Ariana Madix_S32,Alyson Hannigan_S32,100
32,2,0.6,Xochitl Gomez_S32,Mira Sorvino_S32,100
32,3,0.53,Charity Lawson_S32,Alyson Hannigan_S32,100
32,4,0.56,Lele Pons_S32,Lele Pons_S32,100
32,5,0.6,Lele Pons_S32,Lele Pons_S32,100
32,6,0.45,Lele Pons_S32,Lele Pons_S32,100
32,7,0.62,Ariana Madix_S32,Alyson Hannigan_S32,100
32,8,0.61,Ariana Madix_S32,Charity Lawson_S32,100
32,9,0.47,Ariana Madix_S32,Ariana Madix_S32,100
32,10,0.47,Charity Lawson_S32,Ariana Madix_S32,100
32,11,0.86,Xochitl Gomez_S32,Jason Mraz_S32,100
33,1,0.6,Dwight Howard _S33,Stephen Nedoroscik_S33,100
33,2,0.59,Dwight Howard _S33,Danny Amendola_S33,100
33,3,0.52,Joey Graziadei_S33,Ilona Maher_S33,100
33,4,0.69,Danny Amendola_S33,Dwight Howard _S33,100
33,5,0.66,Danny Amendola_S33,Danny Amendola_S33,100
33,6,0.56,Chandler Kinney_S33,Danny Amendola_S33,100
33,7,0.67,Chandler Kinney_S33,Danny Amendola_S33,100
33,8,0.58,Chandler Kinney_S33,Danny Amendola_S33,100
33,9,0.64,Joey Graziadei_S33,Ilona Maher_S33,100
34,1,0.6,Elaine Hendrix_S34,Danielle Fishel_S34,100
34,2,0.7,Jordan Chiles_S34,Danielle Fishel_S34,100
34,3,0.64,Whitney Leavitt_S34,Danielle Fishel_S34,100
34,4,0.53,Jordan Chiles_S34,Dylan Efron_S34,100
34,5,0.55,Whitney Leavitt_S34,Whitney Leavitt_S34,100
34,6,0.72,Whitney Leavitt_S34,Dylan Efron_S34,100
34,7,0.57,Jordan Chiles_S34,Danielle Fishel_S34,100
34,8,0.61,Jordan Chiles_S34,Dylan Efron_S34,100
34,9,0.67,Dylan Efron_S34,Jordan Chiles_S34,100
34,10,0.54,Elaine Hendrix_S34,Elaine Hendrix_S34,100
34,11,0.75,Robert Irwin_S34,Jordan Chiles_S34,100
