season,week,contestant_id,judges_score
1,1,Evander Holyfield_S1,18.0
1,1,Joey McIntyre_S1,20.0
1,1,John O'Hurley_S1,20.0
1,1,Kelly Monaco_S1,13.0
1,1,Rachel Hunter_S1,20.0
1,1,Trista Sutter_S1,18.0
1,2,Evander Holyfield_S1,14.0
1,2,Joey McIntyre_S1,21.0
1,2,John O'Hurley_S1,26.0
1,2,Kelly Monaco_S1,17.0
1,2,Rachel Hunter_S1,24.0
1,2,Trista Sutter_S1,19.0
1,3,Evander Holyfield_S1,13.0
1,3,Joey McIntyre_S1,22.0
1,3,John O'Hurley_S1,24.0
1,3,Kelly Monaco_S1,21.0
1,3,Rachel Hunter_S1,26.0
1,3,Trista Sutter_S1,0.0
1,4,Evander Holyfield_S1,0.0
1,4,Joey McIntyre_S1,20.0
1,4,John O'Hurley_S1,21.0
1,4,Kelly Monaco_S1,26.0
1,4,Rachel Hunter_S1,25.0
1,4,Trista Sutter_S1,0.0
1,5,Evander Holyfield_S1,0.0
1,5,Joey McIntyre_S1,22.5
1,5,John O'Hurley_S1,27.0
1,5,Kelly Monaco_S1,23.5
1,5,Rachel Hunter_S1,0.0
1,5,Trista Sutter_S1,0.0
1,6,Evander Holyfield_S1,0.0
1,6,Joey McIntyre_S1,0.0
1,6,John O'Hurley_S1,27.0
1,6,Kelly Monaco_S1,27.5
1,6,Rachel Hunter_S1,0.0
1,6,Trista Sutter_S1,0.0
2,1,Drew Lachey_S2,24.0
2,1,George Hamilton_S2,18.0
2,1,Giselle Fernandez_S2,23.0
2,1,Jerry Rice_S2,21.0
2,1,Kenny Mayne_S2,13.0
2,1,Lisa Rinna_S2,19.0
2,1,Master P_S2,12.0
2,1,Stacy Keibler_S2,22.0
2,1,Tatum O'Neal_S2,23.0
2,1,Tia Carrere_S2,20.0
2,2,Drew Lachey_S2,27.0
2,2,George Hamilton_S2,22.0
2,2,Giselle Fernandez_S2,24.0
2,2,Jerry Rice_S2,23.0
2,2,Kenny Mayne_S2,0.0
2,2,Lisa Rinna_S2,20.0
2,2,Master P_S2,16.0
2,2,Stacy Keibler_S2,29.0
2,2,Tatum O'Neal_S2,17.0
2,2,Tia Carrere_S2,22.0
2,3,Drew Lachey_S2,27.0
2,3,George Hamilton_S2,22.0
2,3,Giselle Fernandez_S2,22.0
2,3,Jerry Rice_S2,19.0
2,3,Kenny Mayne_S2,0.0
2,3,Lisa Rinna_S2,25.0
2,3,Master P_S2,14.0
2,3,Stacy Keibler_S2,27.0
2,3,Tatum O'Neal_S2,0.0
2,3,Tia Carrere_S2,26.0
2,4,Drew Lachey_S2,28.0
2,4,George Hamilton_S2,21.0
2,4,Giselle Fernandez_S2,0.0
2,4,Jerry Rice_S2,24.0
2,4,Kenny Mayne_S2,0.0
2,4,Lisa Rinna_S2,26.0
2,4,Master P_S2,8.0
2,4,Stacy Keibler_S2,26.0
2,4,Tatum O'Neal_S2,0.0
2,4,Tia Carrere_S2,25.0
2,5,Drew Lachey_S2,27.0
2,5,George Hamilton_S2,24.0
2,5,Giselle Fernandez_S2,0.0
2,5,Jerry Rice_S2,23.0
2,5,Kenny Mayne_S2,0.0
2,5,Lisa Rinna_S2,25.0
2,5,Master P_S2,0.0
2,5,Stacy Keibler_S2,30.0
2,5,Tatum O'Neal_S2,0.0
2,5,Tia Carrere_S2,22.0
2,6,Drew Lachey_S2,30.0
2,6,George Hamilton_S2,23.0
2,6,Giselle Fernandez_S2,0.0
2,6,Jerry Rice_S2,23.0
2,6,Kenny Mayne_S2,0.0
2,6,Lisa Rinna_S2,27.0
2,6,Master P_S2,0.0
2,6,Stacy Keibler_S2,30.0
2,6,Tatum O'Neal_S2,0.0
2,6,Tia Carrere_S2,0.0
2,7,Drew Lachey_S2,27.5
2,7,George Hamilton_S2,0.0
2,7,Giselle Fernandez_S2,0.0
2,7,Jerry Rice_S2,20.5
2,7,Kenny Mayne_S2,0.0
2,7,Lisa Rinna_S2,26.5
2,7,Master P_S2,0.0
2,7,Stacy Keibler_S2,27.5
2,7,Tatum O'Neal_S2,0.0
2,7,Tia Carrere_S2,0.0
2,8,Drew Lachey_S2,28.9998
2,8,George Hamilton_S2,0.0
2,8,Giselle Fernandez_S2,0.0
2,8,Jerry Rice_S2,26.666600000000003
2,8,Kenny Mayne_S2,0.0
2,8,Lisa Rinna_S2,0.0
2,8,Master P_S2,0.0
2,8,Stacy Keibler_S2,28.6665
2,8,Tatum O'Neal_S2,0.0
2,8,Tia Carrere_S2,0.0
3,1,Emmitt Smith_S3,24.0
3,1,Harry Hamlin_S3,17.0
3,1,Jerry Springer_S3,16.0
3,1,Joey Lawrence_S3,21.0
3,1,Mario Lopez_S3,26.0
3,1,Monique Coleman_S3,19.0
3,1,Sara Evans_S3,15.0
3,1,Shanna Moakler_S3,18.0
3,1,Tucker Carlson_S3,12.0
3,1,Vivica A. Fox_S3,22.0
3,1,Willa Ford_S3,22.0
3,2,Emmitt Smith_S3,24.0
3,2,Harry Hamlin_S3,21.0
3,2,Jerry Springer_S3,19.0
3,2,Joey Lawrence_S3,29.0
3,2,Mario Lopez_S3,21.0
3,2,Monique Coleman_S3,26.0
3,2,Sara Evans_S3,21.0
3,2,Shanna Moakler_S3,22.0
3,2,Tucker Carlson_S3,0.0
3,2,Vivica A. Fox_S3,24.0
3,2,Willa Ford_S3,23.0
3,3,Emmitt Smith_S3,19.0
3,3,Harry Hamlin_S3,22.0
3,3,Jerry Springer_S3,21.0
3,3,Joey Lawrence_S3,22.0
3,3,Mario Lopez_S3,22.0
3,3,Monique Coleman_S3,27.0
3,3,Sara Evans_S3,25.0
3,3,Shanna Moakler_S3,0.0
3,3,Tucker Carlson_S3,0.0
3,3,Vivica A. Fox_S3,27.0
3,3,Willa Ford_S3,22.0
3,4,Emmitt Smith_S3,24.0
3,4,Harry Hamlin_S3,0.0
3,4,Jerry Springer_S3,22.0
3,4,Joey Lawrence_S3,27.0
3,4,Mario Lopez_S3,29.0
3,4,Monique Coleman_S3,24.0
3,4,Sara Evans_S3,20.0
3,4,Shanna Moakler_S3,0.0
3,4,Tucker Carlson_S3,0.0
3,4,Vivica A. Fox_S3,24.0
3,4,Willa Ford_S3,28.0
3,5,Emmitt Smith_S3,27.0
3,5,Harry Hamlin_S3,0.0
3,5,Jerry Springer_S3,24.0
3,5,Joey Lawrence_S3,25.0
3,5,Mario Lopez_S3,27.0
3,5,Monique Coleman_S3,27.0
3,5,Sara Evans_S3,24.0
3,5,Shanna Moakler_S3,0.0
3,5,Tucker Carlson_S3,0.0
3,5,Vivica A. Fox_S3,0.0
3,5,Willa Ford_S3,27.0
3,6,Emmitt Smith_S3,25.0
3,6,Harry Hamlin_S3,0.0
3,6,Jerry Springer_S3,18.0
3,6,Joey Lawrence_S3,24.0
3,6,Mario Lopez_S3,28.0
3,6,Monique Coleman_S3,23.0
3,6,Sara Evans_S3,0.0
3,6,Shanna Moakler_S3,0.0
3,6,Tucker Carlson_S3,0.0
3,6,Vivica A. Fox_S3,0.0
3,6,Willa Ford_S3,0.0
3,7,Emmitt Smith_S3,28.5
3,7,Harry Hamlin_S3,0.0
3,7,Jerry Springer_S3,23.0
3,7,Joey Lawrence_S3,28.5
3,7,Mario Lopez_S3,28.0
3,7,Monique Coleman_S3,27.0
3,7,Sara Evans_S3,0.0
3,7,Shanna Moakler_S3,0.0
3,7,Tucker Carlson_S3,0.0
3,7,Vivica A. Fox_S3,0.0
3,7,Willa Ford_S3,0.0
3,8,Emmitt Smith_S3,27.0
3,8,Harry Hamlin_S3,0.0
3,8,Jerry Springer_S3,0.0
3,8,Joey Lawrence_S3,27.0
3,8,Mario Lopez_S3,28.5
3,8,Monique Coleman_S3,26.5
3,8,Sara Evans_S3,0.0
3,8,Shanna Moakler_S3,0.0
3,8,Tucker Carlson_S3,0.0
3,8,Vivica A. Fox_S3,0.0
3,8,Willa Ford_S3,0.0
3,9,Emmitt Smith_S3,29.5
3,9,Harry Hamlin_S3,0.0
3,9,Jerry Springer_S3,0.0
3,9,Joey Lawrence_S3,29.5
3,9,Mario Lopez_S3,29.5
3,9,Monique Coleman_S3,0.0
3,9,Sara Evans_S3,0.0
3,9,Shanna Moakler_S3,0.0
3,9,Tucker Carlson_S3,0.0
3,9,Vivica A. Fox_S3,0.0
3,9,Willa Ford_S3,0.0
3,10,Emmitt Smith_S3,29.666600000000003
3,10,Harry Hamlin_S3,0.0
3,10,Jerry Springer_S3,0.0
3,10,Joey Lawrence_S3,0.0
3,10,Mario Lopez_S3,29.666600000000003
3,10,Monique Coleman_S3,0.0
3,10,Sara Evans_S3,0.0
3,10,Shanna Moakler_S3,0.0
3,10,Tucker Carlson_S3,0.0
3,10,Vivica A. Fox_S3,0.0
3,10,Willa Ford_S3,0.0
4,1,Apolo Anton Ohno_S4,21.0
4,1,Billy Ray Cyrus_S4,13.0
4,1,Clyde Drexler_S4,16.0
4,1,Heather Mills_S4,18.0
4,1,Ian Ziering_S4,21.0
4,1,Joey Fatone_S4,24.0
4,1,John Ratzenberger_S4,17.0
4,1,Laila Ali_S4,23.0
4,1,Leeza Gibbons_S4,15.0
4,1,Paulina Porizkova_S4,19.0
4,1,Shandi Finnessey_S4,19.0
4,2,Apolo Anton Ohno_S4,26.0
4,2,Billy Ray Cyrus_S4,21.0
4,2,Clyde Drexler_S4,18.0
4,2,Heather Mills_S4,24.0
4,2,Ian Ziering_S4,22.0
4,2,Joey Fatone_S4,24.0
4,2,John Ratzenberger_S4,21.0
4,2,Laila Ali_S4,27.0
4,2,Leeza Gibbons_S4,21.0
4,2,Paulina Porizkova_S4,21.0
4,2,Shandi Finnessey_S4,20.0
4,3,Apolo Anton Ohno_S4,23.0
4,3,Billy Ray Cyrus_S4,21.0
4,3,Clyde Drexler_S4,16.0
4,3,Heather Mills_S4,24.0
4,3,Ian Ziering_S4,24.0
4,3,Joey Fatone_S4,24.0
4,3,John Ratzenberger_S4,20.0
4,3,Laila Ali_S4,21.0
4,3,Leeza Gibbons_S4,24.0
4,3,Paulina Porizkova_S4,0.0
4,3,Shandi Finnessey_S4,21.0
4,4,Apolo Anton Ohno_S4,26.0
4,4,Billy Ray Cyrus_S4,21.0
4,4,Clyde Drexler_S4,15.0
4,4,Heather Mills_S4,23.0
4,4,Ian Ziering_S4,24.0
4,4,Joey Fatone_S4,28.0
4,4,John Ratzenberger_S4,16.0
4,4,Laila Ali_S4,21.0
4,4,Leeza Gibbons_S4,16.0
4,4,Paulina Porizkova_S4,0.0
4,4,Shandi Finnessey_S4,0.0
4,5,Apolo Anton Ohno_S4,30.0
4,5,Billy Ray Cyrus_S4,17.0
4,5,Clyde Drexler_S4,13.0
4,5,Heather Mills_S4,21.0
4,5,Ian Ziering_S4,24.0
4,5,Joey Fatone_S4,25.0
4,5,John Ratzenberger_S4,18.0
4,5,Laila Ali_S4,28.0
4,5,Leeza Gibbons_S4,0.0
4,5,Paulina Porizkova_S4,0.0
4,5,Shandi Finnessey_S4,0.0
4,6,Apolo Anton Ohno_S4,28.0
4,6,Billy Ray Cyrus_S4,21.0
4,6,Clyde Drexler_S4,0.0
4,6,Heather Mills_S4,23.0
4,6,Ian Ziering_S4,24.0
4,6,Joey Fatone_S4,27.0
4,6,John Ratzenberger_S4,19.0
4,6,Laila Ali_S4,28.0
4,6,Leeza Gibbons_S4,0.0
4,6,Paulina Porizkova_S4,0.0
4,6,Shandi Finnessey_S4,0.0
4,7,Apolo Anton Ohno_S4,27.0
4,7,Billy Ray Cyrus_S4,19.0
4,7,Clyde Drexler_S4,0.0
4,7,Heather Mills_S4,0.0
4,7,Ian Ziering_S4,27.0
4,7,Joey Fatone_S4,29.5
4,7,John Ratzenberger_S4,22.5
4,7,Laila Ali_S4,29.5
4,7,Leeza Gibbons_S4,0.0
4,7,Paulina Porizkova_S4,0.0
4,7,Shandi Finnessey_S4,0.0
4,8,Apolo Anton Ohno_S4,29.0
4,8,Billy Ray Cyrus_S4,19.0
4,8,Clyde Drexler_S4,0.0
4,8,Heather Mills_S4,0.0
4,8,Ian Ziering_S4,23.5
4,8,Joey Fatone_S4,27.5
4,8,John Ratzenberger_S4,0.0
4,8,Laila Ali_S4,26.5
4,8,Leeza Gibbons_S4,0.0
4,8,Paulina Porizkova_S4,0.0
4,8,Shandi Finnessey_S4,0.0
