season,week,discrepancy_prob,method1_eliminated,method2_eliminated,method_pair
1,1,0.66,Joey McIntyre_S1,Joey McIntyre_S1,rank_rank_vs_percent_rank
1,2,0.64,Joey McIntyre_S1,John O'Hurley_S1,rank_rank_vs_percent_rank
1,3,0.74,John O'Hurley_S1,John O'Hurley_S1,rank_rank_vs_percent_rank
1,4,0.77,Kelly Monaco_S1,John O'Hurley_S1,rank_rank_vs_percent_rank
1,5,0.47,John O'Hurley_S1,John O'Hurley_S1,rank_rank_vs_percent_rank
1,6,0.04,Kelly Monaco_S1,Kelly Monaco_S1,rank_rank_vs_percent_rank
2,1,0.83,Drew Lachey_S2,Drew Lachey_S2,rank_rank_vs_percent_rank
2,2,0.84,Tia Carrere_S2,Drew Lachey_S2,rank_rank_vs_percent_rank
2,3,0.8,Tia Carrere_S2,Drew Lachey_S2,rank_rank_vs_percent_rank
2,4,0.86,Stacy Keibler_S2,Stacy Keibler_S2,rank_rank_vs_percent_rank
2,5,0.66,Stacy Keibler_S2,Stacy Keibler_S2,rank_rank_vs_percent_rank
2,6,0.55,Drew Lachey_S2,Stacy Keibler_S2,rank_rank_vs_percent_rank
2,7,0.39,Drew Lachey_S2,Drew Lachey_S2,rank_rank_vs_percent_rank
2,8,0.75,Drew Lachey_S2,Jerry Rice_S2,rank_rank_vs_percent_rank
3,1,0.84,Monique Coleman_S3,Mario Lopez_S3,rank_rank_vs_percent_rank
3,2,0.8,Emmitt Smith_S3,Willa Ford_S3,rank_rank_vs_percent_rank
3,3,0.84,Vivica A. Fox_S3,Willa Ford_S3,rank_rank_vs_percent_rank
3,4,0.87,Joey Lawrence_S3,Willa Ford_S3,rank_rank_vs_percent_rank
3,5,0.67,Emmitt Smith_S3,Mario Lopez_S3,rank_rank_vs_percent_rank
3,6,0.67,Monique Coleman_S3,Monique Coleman_S3,rank_rank_vs_percent_rank
3,7,0.61,Joey Lawrence_S3,Emmitt Smith_S3,rank_rank_vs_percent_rank
3,8,0.71,Joey Lawrence_S3,Joey Lawrence_S3,rank_rank_vs_percent_rank
