season,week,n_contestants,n_simulations,ODP,Stability_A_contestant,Stability_A_prob,Stability_B_contestant,Stability_B_prob,Unique_Eliminated_A,Unique_Eliminated_B
1,1,6,1000,0.457,Kelly Monaco_S1,0.543,Kelly Monaco_S1,1.0,3,1
1,2,6,1000,1.0,Trista Sutter_S1,0.999,Evander Holyfield_S1,1.0,2,1
1,3,5,1000,0.001,Evander Holyfield_S1,0.999,Evander Holyfield_S1,1.0,2,1
1,4,4,1000,0.979,Rachel Hunter_S1,0.963,Joey McIntyre_S1,1.0,3,1
1,5,3,1000,0.026,Joey McIntyre_S1,0.974,Joey McIntyre_S1,1.0,2,1
1,6,2,1000,0.0,John O'Hurley_S1,1.0,John O'Hurley_S1,1.0,1,1
2,1,10,1000,1.0,Kenny Mayne_S2,1.0,Master P_S2,1.0,1,1
2,2,9,1000,0.997,Tatum O'Neal_S2,0.997,Master P_S2,1.0,2,1
2,3,8,1000,0.989,Giselle Fernandez_S2,0.986,Master P_S2,1.0,3,1
2,4,7,1000,0.0,Master P_S2,1.0,Master P_S2,1.0,1,1
2,5,6,1000,0.0,Tia Carrere_S2,1.0,Tia Carrere_S2,1.0,1,1
2,6,5,1000,0.0,George Hamilton_S2,1.0,George Hamilton_S2,1.0,1,1
2,7,4,1000,0.997,Lisa Rinna_S2,0.997,Jerry Rice_S2,1.0,2,1
2,8,3,1000,0.982,Stacy Keibler_S2,0.965,Jerry Rice_S2,1.0,3,1
3,1,11,1000,0.0,Tucker Carlson_S3,1.0,Tucker Carlson_S3,1.0,1,1
3,2,10,1000,0.729,Shanna Moakler_S3,0.602,Jerry Springer_S3,1.0,5,1
3,3,9,1000,0.923,Harry Hamlin_S3,0.52,Emmitt Smith_S3,1.0,3,1
3,4,8,1000,0.811,Vivica A. Fox_S3,0.683,Sara Evans_S3,1.0,3,1
3,5,7,1000,0.0,Sara Evans_S3,1.0,Sara Evans_S3,1.0,1,1
3,6,5,1000,0.241,Jerry Springer_S3,0.759,Jerry Springer_S3,1.0,4,1
3,7,5,1000,0.0,Jerry Springer_S3,1.0,Jerry Springer_S3,1.0,1,1
3,8,4,1000,0.0,Monique Coleman_S3,1.0,Monique Coleman_S3,1.0,1,1
3,9,3,1000,0.0,Joey Lawrence_S3,1.0,Joey Lawrence_S3,1.0,1,1
3,10,2,1000,0.0,Mario Lopez_S3,1.0,Mario Lopez_S3,1.0,1,1
4,1,11,1000,0.617,Heather Mills_S4,0.431,Billy Ray Cyrus_S4,1.0,7,1
4,2,11,1000,0.888,Shandi Finnessey_S4,0.532,Clyde Drexler_S4,1.0,3,1
4,3,10,1000,0.97,Shandi Finnessey_S4,0.767,Clyde Drexler_S4,1.0,3,1
4,4,9,1000,0.986,Leeza Gibbons_S4,0.986,Clyde Drexler_S4,1.0,2,1
4,5,8,1000,0.0,Clyde Drexler_S4,1.0,Clyde Drexler_S4,1.0,1,1
4,6,7,1000,0.983,Heather Mills_S4,0.929,John Ratzenberger_S4,1.0,3,1
4,7,6,1000,0.994,John Ratzenberger_S4,0.994,Billy Ray Cyrus_S4,1.0,2,1
4,8,5,1000,0.0,Billy Ray Cyrus_S4,1.0,Billy Ray Cyrus_S4,1.0,1,1
4,9,4,1000,0.0,Ian Ziering_S4,1.0,Ian Ziering_S4,1.0,1,1
4,10,3,1000,0.002,Laila Ali_S4,0.998,Laila Ali_S4,1.0,2,1
5,1,12,1000,0.0,Josie Maran_S5,1.0,Josie Maran_S5,1.0,1,1
5,2,11,1000,0.919,Albert Reed_S5,0.671,Wayne Newton_S5,1.0,3,1
5,3,10,1000,0.0,Wayne Newton_S5,1.0,Wayne Newton_S5,1.0,1,1
5,4,9,1000,1.0,Floyd Mayweather Jr. _S5,1.0,Mark Cuban_S5,1.0,1,1
5,5,8,1000,0.0,Mark Cuban_S5,1.0,Mark Cuban_S5,1.0,1,1
5,6,7,1000,0.792,Sabrina Bryan_S5,0.636,Jane Seymour_S5,1.0,3,1
5,7,6,1000,0.0,Jane Seymour_S5,1.0,Jane Seymour_S5,1.0,1,1
5,8,5,1000,0.838,Cameron Mathison_S5,0.838,Marie Osmond_S5,1.0,2,1
5,9,4,1000,1.0,Jennie Garth_S5,1.0,Marie Osmond_S5,1.0,1,1
5,10,3,1000,0.0,Marie Osmond_S5,1.0,Marie Osmond_S5,1.0,1,1
6,1,12,1000,0.097,Adam Carolla_S6,0.896,Adam Carolla_S6,0.988,3,2
6,2,12,1000,0.0,Monica Seles_S6,1.0,Monica Seles_S6,1.0,1,1
6,3,10,1000,0.894,Steve Guttenberg_S6,0.894,Marissa Jaret Winokur_S6,1.0,2,1
6,4,9,1000,0.0,Adam Carolla_S6,1.0,Adam Carolla_S6,1.0,1,1
