method,week,stability_score
judge_rank,5,0.5
rank_rank,6,0.6666666666666666
percent_rank,5,0.5
percent_rank,11,0.5
judge_rank,1,0.22727272727272727
fan_rank,10,0.6666666666666666
judge_rank,11,0.5
rank_rank,9,0.5
judge_rank,6,0.6666666666666666
rank_rank,3,0.26666666666666666
percent_rank,3,0.3333333333333333
fan_rank,1,0.2857142857142857
judge_rank,2,0.2857142857142857
rank_rank,7,0.4
rank_rank,10,0.6666666666666666
percent_rank,7,0.4
percent_rank,10,0.6666666666666666
rank_rank,1,0.2727272727272727
percent_rank,4,0.5
percent_rank,6,0.6666666666666666
fan_rank,2,0.2857142857142857
judge_rank,7,0.36363636363636365
percent_rank,8,0.5
percent_rank,9,0.5
fan_rank,4,0.5
fan_rank,6,0.6666666666666666
judge_rank,3,0.3333333333333333
judge_rank,9,0.4
rank_rank,5,0.42857142857142855
fan_rank,9,0.5
judge_rank,10,0.5
fan_rank,5,0.5
judge_rank,4,0.5
percent_rank,1,0.2857142857142857
percent_rank,2,0.2857142857142857
fan_rank,7,0.4
fan_rank,8,0.5
judge_rank,8,0.5
rank_rank,2,0.2857142857142857
fan_rank,11,0.5
rank_rank,4,0.5
rank_rank,8,0.5
fan_rank,3,0.3333333333333333
rank_rank,11,0.5
