season,week,n_samples,discrepancy_prob,n_discrepancies,unique_rank_eliminated,unique_percentage_eliminated
1,1,1000,0.455,455,5,1
1,2,1000,0.002,2,3,1
1,3,1000,0.0,0,1,1
1,4,1000,0.023,23,3,2
1,5,1000,0.033,33,2,2
1,6,1000,0.0,0,1,1
2,1,1000,0.0,0,1,1
2,2,1000,0.004,4,2,1
2,3,1000,0.124,124,3,2
2,4,1000,0.0,0,1,1
2,5,1000,0.0,0,1,1
2,6,1000,0.0,0,1,1
2,7,1000,0.005,5,2,2
2,8,1000,0.019,19,3,2
3,1,1000,0.0,0,1,1
3,2,1000,0.378,378,5,1
3,3,1000,0.48,480,3,1
3,4,1000,0.354,354,3,1
3,5,1000,0.275,275,1,2
3,6,1000,0.244,244,4,1
3,7,1000,0.0,0,1,1
3,8,1000,0.0,0,1,1
3,9,1000,0.0,0,1,1
3,10,1000,0.0,0,1,1
4,1,1000,0.52,520,7,5
4,2,1000,0.657,657,3,1
4,3,1000,0.202,202,3,1
4,4,1000,0.009,9,2,1
4,5,1000,0.001,1,2,1
4,6,1000,0.075,75,3,1
4,7,1000,0.003,3,2,1
4,8,1000,0.0,0,1,1
4,9,1000,0.0,0,1,1
4,10,1000,0.0,0,1,1
5,1,1000,0.0,0,1,1
5,2,1000,0.329,329,3,1
5,3,1000,0.0,0,1,1
5,4,1000,0.0,0,1,1
5,5,1000,0.0,0,1,1
5,6,1000,0.369,369,3,1
5,7,1000,0.0,0,1,1
5,8,1000,0.135,135,2,1
5,9,1000,0.0,0,1,1
5,10,1000,0.0,0,1,1
6,1,1000,0.304,304,3,3
6,2,1000,0.787,787,1,2
6,3,1000,0.102,102,2,1
6,4,1000,0.0,0,1,1
6,5,1000,0.0,0,1,1
6,6,1000,0.0,0,1,1
6,7,1000,0.219,219,2,1
6,8,1000,0.375,375,3,1
6,9,1000,0.0,0,1,1
6,10,1000,0.0,0,1,1
7,1,1000,0.008,8,2,2
7,2,1000,0.132,132,2,2
7,3,1000,0.245,245,5,3
7,4,1000,0.0,0,1,1
7,5,1000,0.29,290,3,1
7,6,1000,0.0,0,1,1
7,7,1000,0.142,142,3,1
7,8,1000,0.0,0,1,1
7,9,1000,0.0,0,1,1
7,10,1000,0.0,0,1,1
8,1,1000,0.009,9,2,1
8,2,1000,0.377,377,4,1
8,3,1000,0.001,1,2,1
8,4,1000,0.003,3,1,2
8,5,1000,0.042,42,3,1
8,6,1000,0.0,0,1,1
8,7,1000,0.0,0,1,1
8,8,1000,0.0,0,1,1
8,9,1000,0.0,0,1,1
8,10,1000,0.0,0,1,1
8,11,1000,0.0,0,1,1
9,1,1000,0.0,0,2,2
9,2,1000,0.0,0,1,1
9,3,1000,0.028,28,1,2
9,4,1000,0.0,0,1,1
9,5,1000,0.019,19,2,1
9,6,1000,0.0,0,2,2
9,7,1000,0.38,380,2,2
9,8,1000,0.0,0,1,1
9,9,1000,0.547,547,2,1
9,10,1000,0.0,0,1,1
10,1,1000,0.0,0,1,1
10,2,1000,0.43,430,5,2
10,3,1000,0.0,0,1,1
10,4,1000,0.0,0,1,1
10,5,1000,0.0,0,1,1
10,6,1000,0.0,0,1,1
10,7,1000,0.206,206,2,1
10,8,1000,0.0,0,1,1
10,9,1000,0.0,0,1,1
10,10,1000,0.0,0,1,1
11,1,1000,0.0,0,1,1
11,2,1000,0.0,0,1,1
11,3,1000,0.0,0,1,1
11,4,1000,0.0,0,1,1
11,5,1000,0.056,56,2,1
11,6,1000,0.788,788,5,1
11,7,1000,0.418,418,3,1
11,8,1000,0.066,66,2,1
11,9,1000,0.0,0,1,1
11,10,1000,0.0,0,1,1
12,1,1000,0.012,12,3,2
12,2,1000,0.0,0,1,1
12,3,1000,0.0,0,1,1
12,4,1000,0.002,2,2,1
12,5,1000,0.0,0,1,1
12,6,1000,0.0,0,1,1
12,7,1000,0.0,0,1,1
12,8,1000,0.08,80,2,1
12,9,1000,0.0,0,1,1
12,10,1000,0.989,989,2,2
13,1,1000,0.0,0,1,1
13,2,1000,0.889,889,5,1
13,3,1000,0.756,756,4,1
13,4,1000,0.191,191,2,1
13,5,1000,0.0,0,1,1
13,6,1000,0.0,0,1,1
13,7,1000,0.0,0,1,1
13,8,1000,0.0,0,1,1
13,9,1000,0.0,0,1,1
