season,week,n_samples,judge_impact_prob,theoretical_eliminations,actual_eliminations
28,1,1000,0.0,1000,1000
28,2,1000,0.0,1000,1000
28,3,1000,0.0,1000,1000
28,4,1000,0.0,1000,1000
28,5,1000,0.0,1000,1000
28,6,1000,0.0,1000,1000
28,7,1000,0.0,1000,1000
28,8,1000,0.0,1000,1000
28,9,1000,0.0,1000,1000
28,10,1000,0.0,1000,1000
28,11,1000,0.0,1000,1000
29,1,1000,0.0,1000,1000
29,2,1000,0.0,1000,1000
29,3,1000,0.0,1000,1000
29,4,1000,0.0,1000,1000
29,5,1000,0.0,1000,1000
29,6,1000,0.0,1000,1000
29,7,1000,0.0,1000,1000
29,8,1000,0.0,1000,1000
29,9,1000,0.0,1000,1000
29,10,1000,0.0,1000,1000
29,11,1000,0.0,1000,1000
30,1,1000,0.0,1000,1000
30,2,1000,0.0,1000,1000
30,3,1000,0.0,1000,1000
30,4,1000,0.0,1000,1000
30,5,1000,0.0,1000,1000
30,6,1000,0.0,1000,1000
30,7,1000,0.0,1000,1000
30,8,1000,0.0,1000,1000
30,9,1000,0.0,1000,1000
30,10,1000,0.0,1000,1000
31,1,1000,0.0,1000,1000
31,2,1000,0.0,1000,1000
31,3,1000,0.0,1000,1000
31,4,1000,0.0,1000,1000
31,5,1000,0.0,1000,1000
31,6,1000,0.0,1000,1000
31,7,1000,0.0,1000,1000
31,8,1000,0.0,1000,1000
31,9,1000,0.0,1000,1000
31,10,1000,0.0,1000,1000
32,1,1000,0.0,1000,1000
32,2,1000,0.0,1000,1000
32,3,1000,0.0,1000,1000
32,4,1000,0.0,1000,1000
32,5,1000,0.0,1000,1000
32,6,1000,0.0,1000,1000
32,7,1000,0.0,1000,1000
32,8,1000,0.0,1000,1000
32,9,1000,0.0,1000,1000
32,10,1000,0.0,1000,1000
32,11,1000,0.0,1000,1000
33,1,1000,0.0,1000,1000
33,2,1000,0.0,1000,1000
33,3,1000,0.0,1000,1000
33,4,1000,0.0,1000,1000
33,5,1000,0.0,1000,1000
33,6,1000,0.0,1000,1000
33,7,1000,0.0,1000,1000
33,8,1000,0.0,1000,1000
33,9,1000,0.0,1000,1000
34,1,1000,0.0,1000,1000
34,2,1000,0.0,1000,1000
34,3,1000,0.0,1000,1000
34,4,1000,0.0,1000,1000
34,5,1000,0.0,1000,1000
34,6,1000,0.0,1000,1000
34,7,1000,0.0,1000,1000
34,8,1000,0.0,1000,1000
34,9,1000,0.0,1000,1000
34,10,1000,0.0,1000,1000
34,11,1000,0.0,1000,1000
