season,week,sample_id,eliminated_rank,eliminated_percentage,n_contestants
1,1,1,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,2,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,3,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,4,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,5,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,6,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,7,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,8,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,9,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,10,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,11,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,12,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,13,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,14,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,15,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,16,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,17,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,18,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,19,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,20,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,21,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,22,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,23,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,24,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,25,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,26,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,27,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,28,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,29,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,30,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,31,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,32,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,33,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,34,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,35,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,36,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,37,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,38,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,39,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,40,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,41,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,42,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,43,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,44,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,45,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,46,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,47,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,48,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,49,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,50,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,51,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,52,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,53,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,54,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,55,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,56,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,57,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,58,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,59,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,60,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,61,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,62,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,63,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,64,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,65,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,66,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,67,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,68,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,69,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,70,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,71,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,72,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,73,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,74,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,75,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,76,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,77,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,78,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,79,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,80,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,81,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,82,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,83,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,84,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,85,Trista Sutter_S1,Kelly Monaco_S1,6
1,1,86,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,87,Evander Holyfield_S1,Kelly Monaco_S1,6
1,1,88,Kelly Monaco_S1,Kelly Monaco_S1,6
1,1,89,Evander Holyfield_S1,Kelly Monaco_S1,6
