season,week,n_samples,rank_stability,rank_most_frequent,percentage_stability,percentage_most_frequent,stability_difference,season_week
1,1,1000,0.545,Kelly Monaco_S1,1.0,Kelly Monaco_S1,0.45499999999999996,1-1
1,2,1000,0.998,Trista Sutter_S1,1.0,Trista Sutter_S1,0.0020000000000000018,1-2
1,3,1000,1.0,Evander Holyfield_S1,1.0,Evander Holyfield_S1,0.0,1-3
1,4,1000,0.976,Rachel Hunter_S1,0.999,Rachel Hunter_S1,0.02300000000000002,1-4
1,5,1000,0.978,Joey McIntyre_S1,0.967,Joey McIntyre_S1,-0.01100000000000001,1-5
1,6,1000,1.0,John O'Hurley_S1,1.0,John O'Hurley_S1,0.0,1-6
2,1,1000,1.0,Kenny Mayne_S2,1.0,Kenny Mayne_S2,0.0,2-1
2,2,1000,0.996,Tatum O'Neal_S2,1.0,Tatum O'Neal_S2,0.0040000000000000036,2-2
2,3,1000,0.988,Giselle Fernandez_S2,0.87,Giselle Fernandez_S2,-0.118,2-3
2,4,1000,1.0,Master P_S2,1.0,Master P_S2,0.0,2-4
2,5,1000,1.0,Tia Carrere_S2,1.0,Tia Carrere_S2,0.0,2-5
2,6,1000,1.0,George Hamilton_S2,1.0,George Hamilton_S2,0.0,2-6
2,7,1000,0.998,Lisa Rinna_S2,0.997,Lisa Rinna_S2,-0.0010000000000000009,2-7
2,8,1000,0.97,Stacy Keibler_S2,0.989,Stacy Keibler_S2,0.019000000000000017,2-8
3,1,1000,1.0,Tucker Carlson_S3,1.0,Tucker Carlson_S3,0.0,3-1
3,2,1000,0.622,Shanna Moakler_S3,1.0,Shanna Moakler_S3,0.378,3-2
3,3,1000,0.52,Harry Hamlin_S3,1.0,Harry Hamlin_S3,0.48,3-3
3,4,1000,0.646,Vivica A. Fox_S3,1.0,Vivica A. Fox_S3,0.354,3-4
3,5,1000,1.0,Sara Evans_S3,0.725,Sara Evans_S3,-0.275,3-5
3,6,1000,0.756,Jerry Springer_S3,1.0,Jerry Springer_S3,0.244,3-6
3,7,1000,1.0,Jerry Springer_S3,1.0,Jerry Springer_S3,0.0,3-7
3,8,1000,1.0,Monique Coleman_S3,1.0,Monique Coleman_S3,0.0,3-8
3,9,1000,1.0,Joey Lawrence_S3,1.0,Joey Lawrence_S3,0.0,3-9
3,10,1000,1.0,Mario Lopez_S3,1.0,Mario Lopez_S3,0.0,3-10
4,1,1000,0.406,Billy Ray Cyrus_S4,0.902,Billy Ray Cyrus_S4,0.496,4-1
4,2,1000,0.546,Shandi Finnessey_S4,1.0,Paulina Porizkova_S4,0.45399999999999996,4-2
4,3,1000,0.798,Shandi Finnessey_S4,1.0,Shandi Finnessey_S4,0.20199999999999996,4-3
4,4,1000,0.991,Leeza Gibbons_S4,1.0,Leeza Gibbons_S4,0.009000000000000008,4-4
4,5,1000,0.999,Clyde Drexler_S4,1.0,Clyde Drexler_S4,0.0010000000000000009,4-5
4,6,1000,0.925,Heather Mills_S4,1.0,Heather Mills_S4,0.07499999999999996,4-6
4,7,1000,0.997,John Ratzenberger_S4,1.0,John Ratzenberger_S4,0.0030000000000000027,4-7
4,8,1000,1.0,Billy Ray Cyrus_S4,1.0,Billy Ray Cyrus_S4,0.0,4-8
4,9,1000,1.0,Ian Ziering_S4,1.0,Ian Ziering_S4,0.0,4-9
4,10,1000,1.0,Laila Ali_S4,1.0,Laila Ali_S4,0.0,4-10
5,1,1000,1.0,Josie Maran_S5,1.0,Josie Maran_S5,0.0,5-1
5,2,1000,0.671,Albert Reed_S5,1.0,Albert Reed_S5,0.32899999999999996,5-2
5,3,1000,1.0,Wayne Newton_S5,1.0,Wayne Newton_S5,0.0,5-3
5,4,1000,1.0,Floyd Mayweather Jr. _S5,1.0,Floyd Mayweather Jr. _S5,0.0,5-4
5,5,1000,1.0,Mark Cuban_S5,1.0,Mark Cuban_S5,0.0,5-5
5,6,1000,0.631,Sabrina Bryan_S5,1.0,Sabrina Bryan_S5,0.369,5-6
5,7,1000,1.0,Jane Seymour_S5,1.0,Jane Seymour_S5,0.0,5-7
5,8,1000,0.865,Cameron Mathison_S5,1.0,Cameron Mathison_S5,0.135,5-8
5,9,1000,1.0,Jennie Garth_S5,1.0,Jennie Garth_S5,0.0,5-9
5,10,1000,1.0,Marie Osmond_S5,1.0,Marie Osmond_S5,0.0,5-10
6,1,1000,0.92,Adam Carolla_S6,0.632,Adam Carolla_S6,-0.28800000000000003,6-1
6,2,1000,1.0,Monica Seles_S6,0.787,Penn Jillette_S6,-0.21299999999999997,6-2
6,3,1000,0.898,Steve Guttenberg_S6,1.0,Steve Guttenberg_S6,0.10199999999999998,6-3
6,4,1000,1.0,Adam Carolla_S6,1.0,Adam Carolla_S6,0.0,6-4
6,5,1000,1.0,Priscilla Presley_S6,1.0,Priscilla Presley_S6,0.0,6-5
6,6,1000,1.0,Marlee Matlin_S6,1.0,Marlee Matlin_S6,0.0,6-6
6,7,1000,0.781,Shannon Elizabeth_S6,1.0,Shannon Elizabeth_S6,0.21899999999999997,6-7
6,8,1000,0.625,Mario_S6,1.0,Mario_S6,0.375,6-8
6,9,1000,1.0,Marissa Jaret Winokur_S6,1.0,Marissa Jaret Winokur_S6,0.0,6-9
6,10,1000,1.0,Cristian de la Fuente_S6,1.0,Cristian de la Fuente_S6,0.0,6-10
7,1,1000,0.998,Jeffrey Ross_S7,0.994,Jeffrey Ross_S7,-0.0040000000000000036,7-1
7,2,1000,0.991,Kim Kardashian_S7,0.877,Kim Kardashian_S7,-0.11399999999999999,7-2
7,3,1000,0.753,Cloris Leachman_S7,0.996,Cloris Leachman_S7,0.243,7-3
7,4,1000,1.0,Rocco DiSpirito_S7,1.0,Rocco DiSpirito_S7,0.0,7-4
7,5,1000,0.71,Toni Braxton_S7,1.0,Toni Braxton_S7,0.29000000000000004,7-5
7,6,1000,1.0,Cloris Leachman_S7,1.0,Cloris Leachman_S7,0.0,7-6
7,7,1000,0.858,Susan Lucci_S7,1.0,Susan Lucci_S7,0.14200000000000002,7-7
7,8,1000,1.0,Maurice Greene_S7,1.0,Maurice Greene_S7,0.0,7-8
7,9,1000,1.0,Cody Linley_S7,1.0,Cody Linley_S7,0.0,7-9
7,10,1000,1.0,Lance Bass_S7,1.0,Lance Bass_S7,0.0,7-10
8,1,1000,0.991,Steve Wozniak_S8,1.0,Steve Wozniak_S8,0.009000000000000008,8-1
8,2,1000,0.623,Belinda Carlisle_S8,1.0,Belinda Carlisle_S8,0.377,8-2
8,3,1000,0.999,Denise Richards_S8,1.0,Denise Richards_S8,0.0010000000000000009,8-3
8,4,1000,1.0,Steve Wozniak_S8,0.997,Steve Wozniak_S8,-0.0030000000000000027,8-4
8,5,1000,0.958,David Alan Grier_S8,1.0,David Alan Grier_S8,0.04200000000000004,8-5
8,6,1000,1.0,Steve-O_S8,1.0,Steve-O_S8,0.0,8-6
8,7,1000,1.0,Lawrence Taylor_S8,1.0,Lawrence Taylor_S8,0.0,8-7
8,8,1000,1.0,Chuck Wicks_S8,1.0,Chuck Wicks_S8,0.0,8-8
8,9,1000,1.0,Lil' Kim_S8,1.0,Lil' Kim_S8,0.0,8-9
8,10,1000,1.0,Ty Murray_S8,1.0,Ty Murray_S8,0.0,8-10
8,11,1000,1.0,Melissa Rycroft_S8,1.0,Melissa Rycroft_S8,0.0,8-11
9,1,1000,0.53,Macy Gray_S9,0.53,Macy Gray_S9,0.0,9-1
9,2,1000,1.0,Kathy Ireland_S9,1.0,Kathy Ireland_S9,0.0,9-2
