season,week,contestant_id,fan_percent,judge_percent,left_contestants,fan_rank,judge_rank,rank_sum,percent_sum,rank_rank,percent_rank,rev_rank_rank,rev_percent_rank,week_rank,season_weeks,voting_method,week_elim,max_week_in_season,rank_rank_is_eliminated,percent_rank_is_eliminated
1,1,Evander Holyfield_S1,0.17241961900573974,0.1651376146788991,6,3,4,7,0.33755723368463886,3,3,4,4,5,6,rank_v1,0,6,false,false
1,1,Joey McIntyre_S1,0.16770444464477768,0.1834862385321101,6,5,2,7,0.3511906831768878,4,2,3,5,3,6,rank_v1,0,6,false,false
1,1,John O'Hurley_S1,0.1726220271887241,0.1834862385321101,6,2,2,4,0.3561082657208342,1,1,6,6,2,6,rank_v1,0,6,false,false
1,1,Kelly Monaco_S1,0.17328374973011942,0.11926605504587157,6,1,6,7,0.292549804775991,2,6,5,1,6,6,rank_v1,0,6,false,false
1,1,Rachel Hunter_S1,0.1451327927716438,0.1834862385321101,6,6,2,8,0.3286190313037539,6,5,1,2,1,6,rank_v1,0,6,false,false
1,1,Trista Sutter_S1,0.16883736665899537,0.1651376146788991,6,4,4,8,0.3339749813378945,5,4,2,3,4,6,rank_v1,0,6,false,false
1,2,Evander Holyfield_S1,0.20500052418654624,0.11570247933884298,6,1,6,7,0.3207030035253892,3,5,4,2,6,6,rank_v1,1,6,false,false
1,2,Joey McIntyre_S1,0.17404392873611574,0.17355371900826447,6,3,3,6,0.3475976477443802,2,2,5,5,3,6,rank_v1,1,6,false,false
1,2,John O'Hurley_S1,0.17087392153422762,0.21487603305785125,6,4,1,5,0.38574995459207884,1,1,6,6,1,6,rank_v1,1,6,false,false
1,2,Kelly Monaco_S1,0.18826022841012094,0.14049586776859505,6,2,5,7,0.328756096178716,4,4,3,3,5,6,rank_v1,1,6,false,false
1,2,Rachel Hunter_S1,0.14033548122822698,0.19834710743801653,6,5,2,7,0.3386825886662435,5,3,2,4,2,6,rank_v1,1,6,false,false
1,2,Trista Sutter_S1,0.12148591590476127,0.15702479338842976,6,6,4,10,0.278510709293191,6,6,1,1,4,6,rank_v1,1,6,true,true
1,3,Evander Holyfield_S1,0.18351336075987137,0.12264150943396226,5,4,5,9,0.30615487019383364,5,5,1,1,5,6,rank_v1,1,6,true,true
1,3,Joey McIntyre_S1,0.20966288994042434,0.20754716981132076,5,2,3,5,0.4172100597517451,2,4,4,2,3,6,rank_v1,1,6,false,false
1,3,John O'Hurley_S1,0.20756516212744583,0.22641509433962265,5,3,2,5,0.4339802564670685,3,1,3,5,2,6,rank_v1,1,6,false,false
1,3,Kelly Monaco_S1,0.22219985985309187,0.19811320754716982,5,1,4,5,0.4203130674002617,1,3,5,3,4,6,rank_v1,1,6,false,false
1,3,Rachel Hunter_S1,0.1770587273191666,0.24528301886792453,5,5,1,6,0.42234174618709114,4,2,2,4,1,6,rank_v1,1,6,false,false
1,4,Joey McIntyre_S1,0.3170583631490104,0.21739130434782608,4,1,4,5,0.5344496674968365,2,1,3,4,4,6,rank_v1,1,6,false,false
1,4,John O'Hurley_S1,0.27220634031508795,0.22826086956521738,4,2,3,5,0.5004672098803054,3,3,2,2,3,6,rank_v1,1,6,false,false
1,4,Kelly Monaco_S1,0.2325943325735733,0.2826086956521739,4,3,1,4,0.5152030282257472,1,2,4,3,1,6,rank_v1,1,6,false,false
1,4,Rachel Hunter_S1,0.17814096396232962,0.2717391304347826,4,4,2,6,0.4498800943971122,4,4,1,1,2,6,rank_v1,1,6,true,true
1,5,Joey McIntyre_S1,0.31825280797712496,0.3082191780821918,3,3,3,6,0.6264719860593168,3,3,1,1,3,6,rank_v1,1,6,true,true
1,5,John O'Hurley_S1,0.3326259641968195,0.3698630136986301,3,2,1,3,0.7024889778954496,2,1,2,3,1,6,rank_v1,1,6,false,false
1,5,Kelly Monaco_S1,0.34912122782605537,0.3219178082191781,3,1,2,3,0.6710390360452334,1,2,3,2,2,6,rank_v1,1,6,false,false
1,6,John O'Hurley_S1,0.4254459631813835,0.4954128440366973,2,2,2,4,0.9208588072180808,2,2,1,1,2,6,rank_v1,2,6,true,true
1,6,Kelly Monaco_S1,0.574554036818616,0.5045871559633027,2,1,1,2,1.0791411927819188,1,1,2,2,1,6,rank_v1,2,6,true,true
2,1,Drew Lachey_S2,0.1015467752569365,0.12307692307692308,10,7,1,8,0.2246236983338596,2,1,9,10,1,8,rank_v1,1,8,false,false
2,1,George Hamilton_S2,0.10592644663823435,0.09230769230769231,10,3,8,11,0.19823413894592667,6,8,5,3,8,8,rank_v1,1,8,false,false
2,1,Giselle Fernandez_S2,0.09758116914196349,0.11794871794871795,10,9,2,11,0.21552988709068144,7,3,4,8,3,8,rank_v1,1,8,false,false
2,1,Jerry Rice_S2,0.10313272225176108,0.1076923076923077,10,5,5,10,0.21082502994406876,4,5,7,6,5,8,rank_v1,1,8,false,false
2,1,Kenny Mayne_S2,0.06357907619585228,0.06666666666666667,10,10,9,19,0.13024574286251894,10,10,1,1,9,8,rank_v1,1,8,true,true
2,1,Lisa Rinna_S2,0.10745779026696521,0.09743589743589744,10,2,7,9,0.20489368770286265,3,7,8,4,7,8,rank_v1,1,8,false,false
2,1,Master P_S2,0.1134305098709769,0.06153846153846154,10,1,10,11,0.17496897140943846,5,9,6,2,10,8,rank_v1,1,8,false,false
2,1,Stacy Keibler_S2,0.1013082740143744,0.11282051282051282,10,8,4,12,0.21412878683488723,9,4,2,7,4,8,rank_v1,1,8,false,false
2,1,Tatum O'Neal_S2,0.10341912297986748,0.11794871794871795,10,4,2,6,0.2213678409285854,1,2,10,9,2,8,rank_v1,1,8,false,false
2,1,Tia Carrere_S2,0.1026181133830704,0.10256410256410256,10,6,6,12,0.20518221594717295,8,6,3,5,6,8,rank_v1,1,8,false,false
2,2,Drew Lachey_S2,0.11187225285967305,0.135,9,6,2,8,0.24687225285967307,2,2,8,8,2,8,rank_v1,1,8,false,false
2,2,George Hamilton_S2,0.11589627169308035,0.11,9,4,5,9,0.22589627169308035,5,5,5,5,6,8,rank_v1,1,8,false,false
2,2,Giselle Fernandez_S2,0.10520401788732456,0.12,9,8,3,11,0.22520401788732455,8,6,2,4,3,8,rank_v1,1,8,false,false
2,2,Jerry Rice_S2,0.11387256185991346,0.115,9,5,4,9,0.22887256185991345,6,3,4,7,4,8,rank_v1,1,8,false,false
2,2,Lisa Rinna_S2,0.11961440995940807,0.1,9,2,7,9,0.21961440995940806,4,7,6,3,7,8,rank_v1,1,8,false,false
2,2,Master P_S2,0.12290500344232953,0.08,9,1,9,10,0.20290500344232953,7,8,3,2,9,8,rank_v1,1,8,false,false
2,2,Stacy Keibler_S2,0.1107501298381871,0.145,9,7,1,8,0.2557501298381871,3,1,7,9,1,8,rank_v1,1,8,false,false
2,2,Tatum O'Neal_S2,0.08384026734098829,0.085,9,9,8,17,0.16884026734098828,9,9,1,1,8,8,rank_v1,1,8,true,true
2,2,Tia Carrere_S2,0.11604508511909849,0.11,9,3,5,8,0.2260450851190985,1,4,9,6,5,8,rank_v1,1,8,false,false
2,3,Drew Lachey_S2,0.12447017792734814,0.14835164835164835,8,7,1,8,0.2728218262789965,4,2,5,7,1,8,rank_v1,1,8,false,false
2,3,George Hamilton_S2,0.13076862988314075,0.12087912087912088,8,3,5,8,0.25164775076226165,3,5,6,4,5,8,rank_v1,1,8,false,false
2,3,Giselle Fernandez_S2,0.08768440938542235,0.12087912087912088,8,8,5,13,0.20856353026454322,8,8,1,1,6,8,rank_v1,1,8,true,true
2,3,Jerry Rice_S2,0.14110341427318487,0.1043956043956044,8,2,7,9,0.24549901866878926,6,6,3,3,7,8,rank_v1,1,8,false,false
2,3,Lisa Rinna_S2,0.12464530326849572,0.13736263736263737,8,6,4,10,0.2620079406311331,7,4,2,5,4,8,rank_v1,1,8,false,false
2,3,Master P_S2,0.14135380944135198,0.07692307692307693,8,1,8,9,0.2182768863644289,5,7,4,2,8,8,rank_v1,1,8,false,false
2,3,Stacy Keibler_S2,0.12478944879244054,0.14835164835164835,8,5,1,6,0.2731410971440889,1,1,8,8,2,8,rank_v1,1,8,false,false
2,3,Tia Carrere_S2,0.1251848070286152,0.14285714285714285,8,4,3,7,0.268041949885758,2,3,7,6,3,8,rank_v1,1,8,false,false
2,4,Drew Lachey_S2,0.14219752956419762,0.17721518987341772,7,6,1,7,0.31941271943761534,6,1,2,7,1,8,rank_v1,1,8,false,false
2,4,George Hamilton_S2,0.1573562175886941,0.13291139240506328,7,1,6,7,0.29026760999375734,2,6,6,2,6,8,rank_v1,1,8,false,false
2,4,Jerry Rice_S2,0.15210528556893457,0.1518987341772152,7,2,5,7,0.30400401974614977,3,5,5,3,5,8,rank_v1,1,8,false,false
2,4,Lisa Rinna_S2,0.14294927711080394,0.16455696202531644,7,5,2,7,0.3075062391361204,5,3,3,5,2,8,rank_v1,1,8,false,false
2,4,Master P_S2,0.11240875729638333,0.05063291139240506,7,7,7,14,0.1630416686887884,7,7,1,1,7,8,rank_v1,1,8,true,true
2,4,Stacy Keibler_S2,0.14473346464143033,0.16455696202531644,7,4,2,6,0.3092904266667468,1,2,7,6,3,8,rank_v1,1,8,false,false
2,4,Tia Carrere_S2,0.1482494682295582,0.15822784810126583,7,3,4,7,0.30647731633082403,4,4,4,4,4,8,rank_v1,1,8,false,false
2,5,Drew Lachey_S2,0.16238567018108183,0.17880794701986755,6,5,2,7,0.3411936172009494,5,2,2,5,2,8,rank_v1,1,8,false,false
2,5,George Hamilton_S2,0.1722800156445245,0.15894039735099338,6,2,4,6,0.33122041299551785,3,5,4,2,4,8,rank_v1,1,8,false,false
2,5,Jerry Rice_S2,0.18745516991337755,0.152317880794702,6,1,5,6,0.3397730507080795,2,3,5,4,5,8,rank_v1,1,8,false,false
2,5,Lisa Rinna_S2,0.1719144017955339,0.16556291390728478,6,3,3,6,0.3374773157028187,4,4,3,3,3,8,rank_v1,1,8,false,false
2,5,Stacy Keibler_S2,0.1718375441654092,0.1986754966887417,6,4,1,5,0.37051304085415093,1,1,6,6,1,8,rank_v1,1,8,false,false
2,5,Tia Carrere_S2,0.13412719830007214,0.1456953642384106,6,6,6,12,0.2798225625384827,6,6,1,1,6,8,rank_v1,1,8,true,true
2,6,Drew Lachey_S2,0.20476517400605093,0.22556390977443608,5,3,1,4,0.430329083780487,1,1,5,5,2,8,rank_v1,1,8,false,false
2,6,George Hamilton_S2,0.16741900119469844,0.17293233082706766,5,5,4,9,0.3403513320217661,5,5,1,1,4,8,rank_v1,1,8,true,true
2,6,Jerry Rice_S2,0.21462158344130422,0.17293233082706766,5,1,4,5,0.3875539142683719,2,4,4,2,5,8,rank_v1,1,8,false,false
2,6,Lisa Rinna_S2,0.20997919847404697,0.20300751879699247,5,2,3,5,0.4129867172710394,3,3,3,3,3,8,rank_v1,1,8,false,false
2,6,Stacy Keibler_S2,0.20321504288390047,0.22556390977443608,5,4,1,5,0.42877895265833654,4,2,2,4,1,8,rank_v1,1,8,false,false
2,7,Drew Lachey_S2,0.2622276510541752,0.2696078431372549,4,2,1,3,0.5318354941914301,1,1,4,4,1,8,rank_v1,1,8,false,false
2,7,Jerry Rice_S2,0.29790134530165235,0.20098039215686275,4,1,4,5,0.4988817374585151,3,3,2,2,4,8,rank_v1,1,8,false,false
2,7,Lisa Rinna_S2,0.1918352151884179,0.25980392156862747,4,4,3,7,0.45163913675704537,4,4,1,1,3,8,rank_v1,1,8,true,true
2,7,Stacy Keibler_S2,0.24803578845575408,0.2696078431372549,4,3,1,4,0.517643631593009,2,2,3,3,2,8,rank_v1,1,8,false,false
2,8,Drew Lachey_S2,0.32988927794060086,0.3438729131809768,3,2,1,3,0.6737621911215776,1,2,3,2,1,8,rank_v1,3,8,true,true
2,8,Jerry Rice_S2,0.38455222598148237,0.3162063678588072,3,1,3,4,0.7007585938402896,2,1,2,3,3,8,rank_v1,3,8,true,true
2,8,Stacy Keibler_S2,0.28555849607791683,0.339920718960216,3,3,2,5,0.6254792150381328,3,3,1,1,2,8,rank_v1,3,8,true,true
3,1,Emmitt Smith_S3,0.09404155095847015,0.11320754716981132,11,5,2,7,0.20724909812828146,1,2,11,10,2,10,percentage,1,10,false,false
3,1,Harry Hamlin_S3,0.09578529191088143,0.08018867924528301,11,2,8,10,0.17597397115616445,3,7,9,5,8,10,percentage,1,10,false,false
3,1,Jerry Springer_S3,0.09564996776226015,0.07547169811320754,11,3,9,12,0.17112166587546768,8,8,4,4,9,10,percentage,1,10,false,false
3,1,Joey Lawrence_S3,0.09237083455086174,0.09905660377358491,11,7,5,12,0.19142743832444664,9,5,3,7,5,10,percentage,1,10,false,false
3,1,Mario Lopez_S3,0.0917836643954544,0.12264150943396226,11,9,1,10,0.21442517382941667,5,1,7,11,1,10,percentage,1,10,false,false
3,1,Monique Coleman_S3,0.094834821817071,0.08962264150943396,11,4,6,10,0.18445746332650495,4,6,8,6,6,10,percentage,1,10,false,false
3,1,Sara Evans_S3,0.09691492953461416,0.07075471698113207,11,1,10,11,0.16766964651574623,6,9,6,3,10,10,percentage,1,10,false,false
3,1,Shanna Moakler_S3,0.08180594458695044,0.08490566037735849,11,10,7,17,0.16671160496430892,10,10,2,2,7,10,percentage,1,10,false,false
3,1,Tucker Carlson_S3,0.07176913141951373,0.05660377358490566,11,11,11,22,0.1283729050044194,11,11,1,1,11,10,percentage,1,10,true,true
3,1,Vivica A. Fox_S3,0.09322991342207201,0.10377358490566038,11,6,3,9,0.1970034983277324,2,3,10,9,4,10,percentage,1,10,false,false
3,1,Willa Ford_S3,0.09181394964185101,0.10377358490566038,11,8,3,11,0.19558753454751138,7,4,5,8,3,10,percentage,1,10,false,false
3,2,Emmitt Smith_S3,0.10595872292562279,0.10434782608695652,10,4,3,7,0.2103065490125793,1,3,10,8,4,10,percentage,1,10,false,false
3,2,Harry Hamlin_S3,0.10558030751334924,0.09130434782608696,10,5,8,13,0.1968846553394362,8,8,3,3,8,10,percentage,1,10,false,false
3,2,Jerry Springer_S3,0.10708272564774933,0.08260869565217391,10,2,10,12,0.18969142129992322,7,9,4,2,10,10,percentage,1,10,false,false
3,2,Joey Lawrence_S3,0.1034528752140436,0.12608695652173912,10,7,1,8,0.22953983173578274,3,1,8,10,1,10,percentage,1,10,false,false
3,2,Mario Lopez_S3,0.10737478855419343,0.09130434782608696,10,1,8,9,0.1986791363802804,4,6,7,5,9,10,percentage,1,10,false,false
3,2,Monique Coleman_S3,0.10383251485046485,0.11304347826086956,10,6,2,8,0.21687599311133443,2,2,9,9,2,10,percentage,1,10,false,false
3,2,Sara Evans_S3,0.10605965473674561,0.09130434782608696,10,3,8,11,0.19736400256283257,5,7,6,4,7,10,percentage,1,10,false,false
3,2,Shanna Moakler_S3,0.05856873187040071,0.09565217391304348,10,10,6,16,0.1542209057834442,10,10,1,1,6,10,percentage,1,10,true,true
3,2,Vivica A. Fox_S3,0.10160100911478699,0.10434782608695652,10,8,3,11,0.2059488352017435,6,4,5,7,3,10,percentage,1,10,false,false
3,2,Willa Ford_S3,0.10048866957264367,0.1,10,9,5,14,0.20048866957264366,9,5,2,6,5,10,percentage,1,10,false,false
3,3,Emmitt Smith_S3,0.12472649155533762,0.09178743961352658,9,1,9,10,0.2165139311688642,5,8,5,2,9,10,percentage,1,10,false,false
3,3,Harry Hamlin_S3,0.0685247177728983,0.10628019323671498,9,9,5,14,0.17480491100961326,9,9,1,1,6,10,percentage,1,10,true,true
3,3,Jerry Springer_S3,0.11545653393128179,0.10144927536231885,9,4,8,12,0.21690580929360065,8,7,2,3,8,10,percentage,1,10,false,false
3,3,Joey Lawrence_S3,0.11788961815435534,0.10628019323671498,9,2,5,7,0.2241698113910703,1,4,9,6,5,10,percentage,1,10,false,false
3,3,Mario Lopez_S3,0.1172366252034359,0.10628019323671498,9,3,5,8,0.22351681844015087,3,5,7,5,7,10,percentage,1,10,false,false
3,3,Monique Coleman_S3,0.11320230474699661,0.13043478260869565,9,8,1,9,0.24363708735569226,4,2,6,8,2,10,percentage,1,10,false,false
3,3,Sara Evans_S3,0.11345828548036523,0.12077294685990338,9,7,3,10,0.2342312323402686,7,3,3,7,3,10,percentage,1,10,false,false
