ballroom_partner,total_partners,avg_placement,best_placement,championships,top3_finishes,avg_judge_score
Derek Hough,17,2.9411764705882355,1,6,9,8.881498959341313
Julianne Hough,5,4.2,1,2,2,7.853609555555556
Daniella Karagach,5,4.6,1,1,3,7.848528138528138
Mark Ballas,21,5.190476190476191,1,3,10,8.290974787329073
Cheryl Burke,23,5.260869565217392,1,2,8,7.83710208053621
Valentin Chmerkovskiy,18,5.277777777777778,1,3,9,8.361072408743519
Lindsay Arnold,10,5.4,1,1,4,7.581083438792689
Witney Carson,14,5.5,1,1,5,7.896284571308321
Sasha Farber,11,5.545454545454546,3,0,2,8.162170943198216
Maksim Chmerkoskiy,16,5.75,1,1,5,7.973139812334656
Alan Bersten,9,6.111111111111111,1,1,2,7.680698368873924
Lacey Schwimmer,6,6.166666666666667,2,0,2,6.8320407671957675
Kym Johnson,14,6.285714285714286,1,2,4,7.402686853741497
Jenna Johnson,9,6.444444444444445,1,2,4,7.1928912083800975
Sharna Burgess,14,6.571428571428571,1,1,5,7.5101138880299585
Rylee Arnold,3,6.666666666666667,4,0,0,7.1419753086419755
Karina Smirnoff,18,6.722222222222222,1,1,4,7.2998271431911705
Dmitry Chaplin,3,7.0,2,0,1,7.431477777777778
Louis van Amstel,11,7.0,3,0,1,7.102582734487735
Ashly DelGrosso,4,7.25,3,0,1,5.55
Allison Holker,4,7.25,2,0,1,7.75051875
Chelsie Hightower,7,7.285714285714286,4,0,0,7.201782142857143
Peta Murgatroyd,15,7.4,1,2,2,7.106173457671957
Artem Chigvintsev,12,7.416666666666667,1,1,1,7.5512177829886165
Edyta Sliwinska,11,7.545454545454546,2,0,2,6.46564151034151
Tony Dovolani,19,7.578947368421052,1,1,3,7.237731763562948
Emma Slater,15,7.8,1,1,1,6.923511847041848
Anna Trebunskaya,11,8.181818181818182,2,0,2,6.938487853535353
Alec Mazo,5,8.4,1,1,1,6.908886222222222
Gleb Savchenko,13,8.461538461538462,4,0,0,7.296022727272727
Jonathan Roberts,7,8.714285714285714,3,0,1,6.888884126984126
Tristan MacManus,4,9.0,5,0,0,6.552083333333333
Brandon Armstrong,7,9.142857142857142,3,0,1,7.465277777777778
Keo Motsepe,9,9.88888888888889,3,0,1,6.3353909465020575
Britt Stewart,6,10.0,5,0,0,6.10462962962963
Pasha Pashkov,7,10.428571428571429,3,0,1,6.579950108225108
