,estimate,std_error,z_value,p_value
Intercept,-2.73703343,0.03753493,-72.91963305,0.00000000
age_centered,-0.00184831,0.00044981,-4.10904437,0.00003973
week,0.11357965,0.00217726,52.16622752,0.00000000
industry_Athlete,0.05210845,0.01285385,4.05391908,0.00005037
industry_Entertainment,-0.12508574,0.02826542,-4.42539825,0.00000963
industry_Model,-0.21693004,0.03118976,-6.95516785,0.00000000
industry_Other,-0.24568638,0.03200241,-7.67712005,0.00000000
industry_Singer,-0.01855297,0.01455898,-1.27433189,0.20254582
industry_TV,-0.03341763,0.01332088,-2.50866584,0.01211881
judge_score,0.00371382,0.00462504,0.80298125,0.42198557
