pro_id,tech_boost,pop_boost,tech_boost_z,pop_boost_z,category,combined_score
Derek Hough,0.6560879,0.06028636,2.39384141,0.53420667,Kingmaker,1.46402404
Jonathan Roberts,0.14902496,0.18014519,0.54374136,1.59629409,Kingmaker,1.07001773
Kym Johnson,0.21346891,0.10252087,0.77887538,0.90845311,Kingmaker,0.84366424
Tony Dovolani,0.28565158,0.07210651,1.04224538,0.6389468,Kingmaker,0.84059609
Maksim Chmerkoskiy,0.29917455,0.06123674,1.09158608,0.54262814,Kingmaker,0.81710711
Alec Mazo,-0.12263804,0.20339138,-0.44746446,1.80228213,Fan Favorite,0.67740884
Tristan MacManus,0.13040355,0.06461561,0.47579815,0.57256876,Kingmaker,0.52418346
Cheryl Burke,0.15856407,0.04671754,0.5785463,0.41397124,Kingmaker,0.49625877
Mark Ballas,0.22799754,-0.0075823,0.83188543,-0.06718791,Technician,0.38234876
Corky Ballas,-0.05753192,0.10678742,-0.20991438,0.94625967,Fan Favorite,0.36817264
Dmitry Chaplin,0.13056148,0.02894073,0.4763744,0.25644819,Kingmaker,0.3664113
Ashly DelGrosso,-0.72908305,0.37326675,-2.66017589,3.30757373,Fan Favorite,0.32369892
Artem Chigvintsev,0.42948661,-0.10622313,1.56705045,-0.94125937,Technician,0.31289554
Louis van Amstel,-0.12399529,0.11065887,-0.45241662,0.98056521,Fan Favorite,0.26407429
Edyta Sliwinska,-0.23062643,0.15132282,-0.84147736,1.34089462,Fan Favorite,0.24970863
Valentin Chmerkovskiy,0.32470761,-0.07868717,1.18474755,-0.69725904,Technician,0.24374426
Witney Carson,0.16761074,-0.02830641,0.61155454,-0.25082739,Technician,0.18036358
Julianne Hough,-0.1364986,0.0750648,-0.49803694,0.66516065,Fan Favorite,0.08356186
Anna Trebunskaya,-0.16980957,0.08755636,-0.61957732,0.77585029,Fan Favorite,0.07813649
Alan Bersten (Rashad Jennings week 9),0.19049032,-0.06179504,0.69503432,-0.54757529,Technician,0.07372952
Karina Smirnoff,-0.11976211,0.05408749,-0.43697119,0.47927751,Fan Favorite,0.02115316
Jenna Johnson,0.04353295,-0.02237291,0.15883693,-0.19824978,Technician,-0.01970642
Sasha Farber,0.14420176,-0.06935517,0.52614314,-0.61456678,Technician,-0.04421182
Allison Holker,0.00088023,-0.0119166,0.00321167,-0.10559484,Technician,-0.05119159
Peta Murgatroyd,-0.00594329,-0.01281297,-0.02168504,-0.11353769,Underperformer,-0.06761136
Daniella Karagach (Rumer Willis week 9),0.14499438,-0.08848409,0.52903512,-0.78407101,Technician,-0.12751794
Val Chmerkovskiy (Joey Graziadei week 9),0.19425903,-0.11199018,0.70878509,-0.99236212,Technician,-0.14178852
Sharna Burgess,-0.05141006,-0.02715386,-0.18757779,-0.24061453,Underperformer,-0.21409616
Witney Carson (Xoshitl Gomez week 9),0.32864289,-0.19010543,1.19910605,-1.68455331,Technician,-0.24272363
Brandon Armstrong,0.1417116,-0.11717902,0.51705739,-1.03834126,Technician,-0.26064193
Lindsay Arnold,-0.1118878,-0.02030321,-0.40824048,-0.17990986,Underperformer,-0.29407517
Alan Bersten,-0.01332897,-0.06680859,-0.04863289,-0.59200116,Underperformer,-0.32031703
Emma Slater,-0.11517138,-0.04988957,-0.42022117,-0.44207907,Underperformer,-0.43115012
Pasha Pashkov,0.01954402,-0.10821668,0.07130948,-0.95892456,Technician,-0.44380754
Keo Motsepe,-0.2449311,-0.01704218,-0.89367023,-0.15101333,Underperformer,-0.52234178
Gleb Savchenko,-0.10553615,-0.10722035,-0.38506549,-0.9500959,Underperformer,-0.66758069
Lacey Schwimmer,-0.52860572,0.06678271,-1.92870233,0.59177182,Fan Favorite,-0.66846526
Daniella Karagach,-0.07984541,-0.12192449,-0.29132872,-1.08039155,Underperformer,-0.68586013
Chelsie Hightower,-0.38756551,-0.02073418,-1.41409463,-0.18372876,Underperformer,-0.79891169
Ezra Sosa (Apolo Anton Ohno week 9),-0.0701844,-0.15809949,-0.25607899,-1.40094377,Underperformer,-0.82851138
Rylee Arnold,-0.6246282,-0.04165849,-2.27905568,-0.36914222,Underperformer,-1.32409895
Britt Stewart,-0.35201367,-0.19962664,-1.28437806,-1.76892215,Underperformer,-1.5266501
