season,1,2,3,4,5,6,7,8,9,10,11
1,0,1,1,1,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,0,0,0,0
3,1,1,1,1,1,0,1,1,0,0,0
4,0,1,1,1,1,1,1,1,1,0,0
5,1,1,1,1,1,1,1,1,1,0,0
6,0,2,1,1,1,1,1,1,1,0,0
7,2,1,0,1,1,1,1,1,1,0,0
8,0,1,1,2,1,1,1,1,1,1,0
9,2,1,1,1,1,2,2,1,1,0,0
10,0,1,1,1,1,1,1,1,1,0,0
11,1,1,1,1,1,1,1,1,1,0,0
12,0,1,1,1,1,1,1,1,1,0,0
13,1,1,1,1,1,1,1,1,1,0,0
14,0,1,1,1,1,1,1,2,1,0,0
15,1,1,2,1,0,1,0,2,2,0,0
16,0,0,1,1,1,1,1,1,1,1,0
17,0,1,1,1,1,0,1,1,1,1,1
18,0,2,0,0,1,1,1,1,1,1,0
19,1,1,1,1,0,1,1,1,1,1,1
20,0,1,1,1,1,1,1,2,1,0,0
21,0,2,0,1,0,1,1,1,1,0,1
22,0,1,1,1,0,1,2,1,2,0,0
23,0,1,1,2,0,1,1,1,1,1,1
24,0,1,1,1,1,1,2,1,1,0,0
25,0,2,0,1,1,1,2,1,1,1,0
26,2,2,3,0,0,0,0,0,0,0,0
27,1,1,1,1,0,1,2,2,0,0,0
28,0,1,0,1,0,1,1,1,1,1,0
29,0,1,1,1,1,1,1,1,1,2,0
30,0,1,1,2,1,1,1,2,2,0,0
31,1,1,1,1,1,1,1,2,2,0,0
32,1,1,1,1,1,1,1,1,1,0,0
33,0,2,2,1,1,1,1,0,0,0,0
34,0,2,1,1,0,1,1,1,1,1,0
