contestant_id,celebrity_name,season,week,judge,score
John O'Hurley_S1,John O'Hurley,1,1,1,7.0
John O'Hurley_S1,John O'Hurley,1,1,2,7.0
John O'Hurley_S1,John O'Hurley,1,1,3,6.0
John O'Hurley_S1,John O'Hurley,1,2,1,8.0
John O'Hurley_S1,John O'Hurley,1,2,2,9.0
John O'Hurley_S1,John O'Hurley,1,2,3,9.0
John O'Hurley_S1,John O'Hurley,1,3,1,9.0
John O'Hurley_S1,John O'Hurley,1,3,2,8.0
John O'Hurley_S1,John O'Hurley,1,3,3,7.0
John O'Hurley_S1,John O'Hurley,1,4,1,7.0
John O'Hurley_S1,John O'Hurley,1,4,2,8.0
John O'Hurley_S1,John O'Hurley,1,4,3,6.0
John O'Hurley_S1,John O'Hurley,1,5,1,9.0
John O'Hurley_S1,John O'Hurley,1,5,2,9.0
John O'Hurley_S1,John O'Hurley,1,5,3,9.0
John O'Hurley_S1,John O'Hurley,1,6,1,9.0
John O'Hurley_S1,John O'Hurley,1,6,2,9.0
John O'Hurley_S1,John O'Hurley,1,6,3,9.0
Kelly Monaco_S1,Kelly Monaco,1,1,1,5.0
Kelly Monaco_S1,Kelly Monaco,1,1,2,4.0
Kelly Monaco_S1,Kelly Monaco,1,1,3,4.0
Kelly Monaco_S1,Kelly Monaco,1,2,1,5.0
Kelly Monaco_S1,Kelly Monaco,1,2,2,6.0
Kelly Monaco_S1,Kelly Monaco,1,2,3,6.0
Kelly Monaco_S1,Kelly Monaco,1,3,1,6.0
Kelly Monaco_S1,Kelly Monaco,1,3,2,7.0
Kelly Monaco_S1,Kelly Monaco,1,3,3,8.0
Kelly Monaco_S1,Kelly Monaco,1,4,1,9.0
Kelly Monaco_S1,Kelly Monaco,1,4,2,9.0
Kelly Monaco_S1,Kelly Monaco,1,4,3,8.0
Kelly Monaco_S1,Kelly Monaco,1,5,1,8.5
Kelly Monaco_S1,Kelly Monaco,1,5,2,7.5
Kelly Monaco_S1,Kelly Monaco,1,5,3,7.5
Kelly Monaco_S1,Kelly Monaco,1,6,1,8.5
Kelly Monaco_S1,Kelly Monaco,1,6,2,9.5
Kelly Monaco_S1,Kelly Monaco,1,6,3,9.5
Evander Holyfield_S1,Evander Holyfield,1,1,1,5.0
Evander Holyfield_S1,Evander Holyfield,1,1,2,7.0
Evander Holyfield_S1,Evander Holyfield,1,1,3,6.0
Evander Holyfield_S1,Evander Holyfield,1,2,1,5.0
Evander Holyfield_S1,Evander Holyfield,1,2,2,4.0
Evander Holyfield_S1,Evander Holyfield,1,2,3,5.0
Evander Holyfield_S1,Evander Holyfield,1,3,1,5.0
Evander Holyfield_S1,Evander Holyfield,1,3,2,4.0
Evander Holyfield_S1,Evander Holyfield,1,3,3,4.0
Evander Holyfield_S1,Evander Holyfield,1,4,1,0.0
Evander Holyfield_S1,Evander Holyfield,1,4,2,0.0
Evander Holyfield_S1,Evander Holyfield,1,4,3,0.0
Evander Holyfield_S1,Evander Holyfield,1,5,1,0.0
Evander Holyfield_S1,Evander Holyfield,1,5,2,0.0
Evander Holyfield_S1,Evander Holyfield,1,5,3,0.0
Evander Holyfield_S1,Evander Holyfield,1,6,1,0.0
Evander Holyfield_S1,Evander Holyfield,1,6,2,0.0
Evander Holyfield_S1,Evander Holyfield,1,6,3,0.0
Rachel Hunter_S1,Rachel Hunter,1,1,1,7.0
Rachel Hunter_S1,Rachel Hunter,1,1,2,6.0
Rachel Hunter_S1,Rachel Hunter,1,1,3,7.0
Rachel Hunter_S1,Rachel Hunter,1,2,1,8.0
Rachel Hunter_S1,Rachel Hunter,1,2,2,8.0
Rachel Hunter_S1,Rachel Hunter,1,2,3,8.0
Rachel Hunter_S1,Rachel Hunter,1,3,1,8.0
Rachel Hunter_S1,Rachel Hunter,1,3,2,9.0
Rachel Hunter_S1,Rachel Hunter,1,3,3,9.0
Rachel Hunter_S1,Rachel Hunter,1,4,1,7.0
Rachel Hunter_S1,Rachel Hunter,1,4,2,9.0
Rachel Hunter_S1,Rachel Hunter,1,4,3,9.0
Rachel Hunter_S1,Rachel Hunter,1,5,1,0.0
Rachel Hunter_S1,Rachel Hunter,1,5,2,0.0
Rachel Hunter_S1,Rachel Hunter,1,5,3,0.0
Rachel Hunter_S1,Rachel Hunter,1,6,1,0.0
Rachel Hunter_S1,Rachel Hunter,1,6,2,0.0
Rachel Hunter_S1,Rachel Hunter,1,6,3,0.0
Joey McIntyre_S1,Joey McIntyre,1,1,1,7.0
Joey McIntyre_S1,Joey McIntyre,1,1,2,7.0
Joey McIntyre_S1,Joey McIntyre,1,1,3,6.0
Joey McIntyre_S1,Joey McIntyre,1,2,1,8.0
Joey McIntyre_S1,Joey McIntyre,1,2,2,7.0
Joey McIntyre_S1,Joey McIntyre,1,2,3,6.0
Joey McIntyre_S1,Joey McIntyre,1,3,1,7.0
Joey McIntyre_S1,Joey McIntyre,1,3,2,7.0
Joey McIntyre_S1,Joey McIntyre,1,3,3,8.0
Joey McIntyre_S1,Joey McIntyre,1,4,1,7.0
Joey McIntyre_S1,Joey McIntyre,1,4,2,6.0
Joey McIntyre_S1,Joey McIntyre,1,4,3,7.0
Joey McIntyre_S1,Joey McIntyre,1,5,1,8.5
Joey McIntyre_S1,Joey McIntyre,1,5,2,7.0
Joey McIntyre_S1,Joey McIntyre,1,5,3,7.0
Joey McIntyre_S1,Joey McIntyre,1,6,1,0.0
Joey McIntyre_S1,Joey McIntyre,1,6,2,0.0
Joey McIntyre_S1,Joey McIntyre,1,6,3,0.0
Trista Sutter_S1,Trista Sutter,1,1,1,6.0
Trista Sutter_S1,Trista Sutter,1,1,2,6.0
Trista Sutter_S1,Trista Sutter,1,1,3,6.0
Trista Sutter_S1,Trista Sutter,1,2,1,6.0
Trista Sutter_S1,Trista Sutter,1,2,2,7.0
Trista Sutter_S1,Trista Sutter,1,2,3,6.0
Trista Sutter_S1,Trista Sutter,1,3,1,0.0
Trista Sutter_S1,Trista Sutter,1,3,2,0.0
