contestant_id,celebrity_name,season,weeks_competed,season_total_score,season_avg_weekly_score,season_avg_judge_score,score_volatility,avg_rank,weeks_ranked_first,placement,results,ballroom_partner,celebrity_industry,celebrity_age_during_season,is_withdrew,industry_code,voting_method,is_controversy_case
Sugar Ray Leonard_S12,Sugar Ray Leonard,12,4,75.0,18.75,6.25,2.0615528128088303,9.0,0,9,Eliminated Week 4,Anna Trebunskaya,Athlete,54,false,2,percentage,false
Xochitl Gomez_S32,Xochitl Gomez,32,11,349.0,31.727272727272727,9.121212121212121,7.603826787755086,2.0,5,1,1st Place,Valentin Chmerkovskiy,Actor/Actress,17,false,0,rank_v2,false
Vanilla Ice_S23,Vanilla Ice,23,4,97.0,24.25,6.541666666666667,1.5000000000000004,8.0,0,10,Eliminated Week 4,Witney Carson,Singer/Rapper,48,false,21,percentage,false
Billy Dee Williams_S18,Billy Dee Williams,18,2,30.0,15.0,5.0,0.0,11.5,0,10,Withdrew,Emma Slater,Actor/Actress,76,true,0,percentage,false
Donny Osmond_S9,Donny Osmond,9,10,264.6662,26.46662,8.822206666666666,3.15520052851021,3.5,2,1,1st Place,Kym Johnson,Singer/Rapper,51,false,21,percentage,false
The Situation_S11,The Situation,11,4,67.0,16.75,5.583333333333334,2.753785273643051,9.0,0,9,Eliminated Week 4,Karina Smirnoff,TV Personality,28,false,25,percentage,false
Pamela Anderson_S15,Pamela Anderson,15,1,17.0,17.0,5.666666666666667,,13.0,0,13,Eliminated Week 1,Tristan MacManus,Model,45,false,13,percentage,false
Justina Machado_S29,Justina Machado,29,11,275.9996,25.090872727272725,8.363624242424242,3.645643478205435,4.454545454545454,1,4,4th Place,Sasha Farber,Actor/Actress,48,false,0,rank_v2,false
Johnny Weir_S29,Johnny Weir,29,10,250.5,25.05,8.35,4.60947092649712,4.1,1,6,Eliminated Week 10,Britt Stewart,Athlete,36,false,2,rank_v2,false
Wayne Newton_S5,Wayne Newton,5,3,52.0,17.333333333333332,5.777777777777778,2.081665999466133,10.333333333333334,0,10,Eliminated Week 3,Cheryl Burke,Singer/Rapper,65,false,21,percentage,false
Maureen McCormick_S23,Maureen McCormick,23,7,188.0,26.857142857142858,7.285714285714286,4.017817460121495,7.428571428571429,0,8,Eliminated Week 7,Artem Chigvintsev,Actor/Actress,60,false,0,percentage,false
Cloris Leachman_S7,Cloris Leachman,7,6,105.0,17.5,5.833333333333333,3.146426544510455,8.833333333333334,0,7,Eliminated Week 6,Corky Ballas,Actor/Actress,82,false,0,percentage,false
