contestant_id,celebrity_name,season,week,total_score,avg_score,judge_count,min_score,max_score,week_rank,prev_week_score,cumulative_avg,score_change,deviation_from_avg
AJ McLean_S29,AJ McLean,29,1,18.0,6.0,3,6.0,6.0,9,,18.0,,0.0
AJ McLean_S29,AJ McLean,29,2,19.0,6.333333333333333,3,6.0,7.0,5,18.0,18.5,1.0,0.5
AJ McLean_S29,AJ McLean,29,3,21.0,7.0,3,7.0,7.0,7,19.0,19.333333333333332,2.0,1.6666666666666679
AJ McLean_S29,AJ McLean,29,4,24.0,8.0,3,8.0,8.0,7,21.0,20.5,3.0,3.5
AJ McLean_S29,AJ McLean,29,5,24.0,8.0,3,8.0,8.0,9,24.0,21.2,0.0,2.8000000000000007
AJ McLean_S29,AJ McLean,29,6,27.0,9.0,3,9.0,9.0,3,24.0,22.166666666666668,3.0,4.833333333333332
AJ McLean_S29,AJ McLean,29,7,26.0,8.666666666666666,3,8.0,9.0,7,27.0,22.714285714285715,-1.0,3.2857142857142847
AJ McLean_S29,AJ McLean,29,8,27.0,9.0,3,9.0,9.0,6,26.0,23.25,1.0,3.75
AJ McLean_S29,AJ McLean,29,9,24.9998,8.333266666666667,3,7.6666,8.6666,6,27.0,23.444422222222222,-2.0001999999999995,1.5553777777777782
Aaron Carter_S9,Aaron Carter,9,1,31.999899999999997,10.666633333333332,3,10.3333,11.3333,2,,31.999899999999997,,0.0
Aaron Carter_S9,Aaron Carter,9,2,27.0,9.0,3,9.0,9.0,2,31.999899999999997,29.49995,-4.999899999999997,-2.4999499999999983
Aaron Carter_S9,Aaron Carter,9,3,21.0,7.0,3,6.0,8.0,4,27.0,26.666633333333333,-6.0,-5.666633333333333
Aaron Carter_S9,Aaron Carter,9,4,18.0,6.0,3,6.0,6.0,8,21.0,24.499975,-3.0,-6.499974999999999
Aaron Carter_S9,Aaron Carter,9,5,24.0,8.0,3,8.0,8.0,6,18.0,24.39998,6.0,-0.39997999999999934
Aaron Carter_S9,Aaron Carter,9,6,32.9998,10.999933333333333,3,10.6666,11.6666,3,24.0,25.83328333333333,8.9998,7.16651666666667
Aaron Carter_S9,Aaron Carter,9,7,26.5,8.833333333333334,3,8.5,9.0,2,32.9998,25.92852857142857,-6.4998000000000005,0.5714714285714315
Aaron Carter_S9,Aaron Carter,9,8,25.0,8.333333333333334,3,8.0,8.5,5,26.5,25.8124625,-1.5,-0.8124624999999988
Adam Carolla_S6,Adam Carolla,6,1,15.0,5.0,3,5.0,5.0,12,,15.0,,0.0
Adam Carolla_S6,Adam Carolla,6,2,19.0,6.333333333333333,3,6.0,7.0,9,15.0,17.0,4.0,2.0
Adam Carolla_S6,Adam Carolla,6,3,21.0,7.0,3,7.0,7.0,6,19.0,18.333333333333332,2.0,2.666666666666668
Adam Carolla_S6,Adam Carolla,6,4,19.0,6.333333333333333,3,6.0,7.0,9,21.0,18.5,-2.0,0.5
Adam Rippon_S26,Adam Rippon,26,1,24.0,8.0,3,8.0,8.0,2,,24.0,,0.0
Adam Rippon_S26,Adam Rippon,26,2,37.0,9.25,4,9.0,9.5,2,24.0,30.5,13.0,6.5
Adam Rippon_S26,Adam Rippon,26,3,41.0,10.25,4,9.5,10.5,1,37.0,34.0,4.0,7.0
Adam Rippon_S26,Adam Rippon,26,4,29.0,9.666666666666666,3,9.5,10.0,1,41.0,32.75,-12.0,-3.75
Adrian Peterson_S32,Adrian Peterson,32,1,18.0,6.0,3,6.0,6.0,6,,18.0,,0.0
Adrian Peterson_S32,Adrian Peterson,32,2,15.0,5.0,3,5.0,5.0,11,18.0,16.5,-3.0,-1.5
Adrian Peterson_S32,Adrian Peterson,32,3,22.0,5.5,4,5.0,6.0,11,15.0,18.333333333333332,7.0,3.666666666666668
Adrian Peterson_S32,Adrian Peterson,32,4,21.0,7.0,3,7.0,7.0,6,22.0,19.0,-1.0,2.0
Aiden Turner_S10,Aiden Turner,10,1,15.0,5.0,3,5.0,5.0,10,,15.0,,0.0
Aiden Turner_S10,Aiden Turner,10,2,19.0,6.333333333333333,3,6.0,7.0,8,15.0,17.0,4.0,2.0
Aiden Turner_S10,Aiden Turner,10,3,20.0,6.666666666666667,3,6.0,7.0,7,19.0,18.0,1.0,2.0
Aiden Turner_S10,Aiden Turner,10,4,16.5,5.5,3,5.5,5.5,8,20.0,17.625,-3.5,-1.125
Albert Reed_S5,Albert Reed,5,1,21.0,7.0,3,7.0,7.0,9,,21.0,,0.0
Albert Reed_S5,Albert Reed,5,2,21.0,7.0,3,7.0,7.0,6,21.0,21.0,0.0,0.0
Alek Skarlatos_S21,Alek Skarlatos,21,1,22.0,7.333333333333333,3,7.0,8.0,6,,22.0,,0.0
Alek Skarlatos_S21,Alek Skarlatos,21,2,22.5,7.5,3,7.0,8.0,4,22.0,22.25,0.5,0.25
Alek Skarlatos_S21,Alek Skarlatos,21,3,33.0,8.25,4,8.0,9.0,3,22.5,25.833333333333332,10.5,7.166666666666668
Alek Skarlatos_S21,Alek Skarlatos,21,4,24.0,8.0,3,8.0,8.0,6,33.0,25.375,-9.0,-1.375
Alek Skarlatos_S21,Alek Skarlatos,21,5,29.0,7.25,4,7.0,8.0,7,24.0,26.1,5.0,2.8999999999999986
Alek Skarlatos_S21,Alek Skarlatos,21,6,30.0,7.5,4,7.0,8.0,8,29.0,26.75,1.0,3.25
Alek Skarlatos_S21,Alek Skarlatos,21,7,26.5,8.833333333333334,3,8.5,9.0,8,30.0,26.714285714285715,-3.5,-0.2142857142857153
Alek Skarlatos_S21,Alek Skarlatos,21,8,25.0,8.333333333333334,3,8.0,9.0,6,26.5,26.5,-1.5,-1.5
Alek Skarlatos_S21,Alek Skarlatos,21,9,25.5,8.5,3,8.5,8.5,5,25.0,26.38888888888889,0.5,-0.8888888888888893
Alek Skarlatos_S21,Alek Skarlatos,21,10,28.5,9.5,3,9.5,9.5,3,25.5,26.6,3.0,1.8999999999999986
Alek Skarlatos_S21,Alek Skarlatos,21,11,27.999899999999997,9.3333,3,9.3333,9.3333,4,28.5,26.727263636363638,-0.5001000000000033,1.2726363636363587
Alexa PenaVega_S21,Alexa PenaVega,21,1,22.0,7.333333333333333,3,7.0,8.0,5,,22.0,,0.0
Alexa PenaVega_S21,Alexa PenaVega,21,2,23.0,7.666666666666667,3,7.5,8.0,3,22.0,22.5,1.0,0.5
Alexa PenaVega_S21,Alexa PenaVega,21,3,36.0,9.0,4,9.0,9.0,2,23.0,27.0,13.0,9.0
Alexa PenaVega_S21,Alexa PenaVega,21,4,21.0,7.0,3,7.0,7.0,8,36.0,25.5,-15.0,-4.5
Alexa PenaVega_S21,Alexa PenaVega,21,5,40.0,10.0,4,10.0,10.0,1,21.0,28.4,19.0,11.600000000000001
Alexa PenaVega_S21,Alexa PenaVega,21,6,30.0,7.5,4,7.0,8.0,7,40.0,28.666666666666668,-10.0,1.3333333333333321
Alexa PenaVega_S21,Alexa PenaVega,21,7,27.5,9.166666666666666,3,9.0,9.5,5,30.0,28.5,-2.5,-1.0
Alexa PenaVega_S21,Alexa PenaVega,21,8,26.9998,8.999933333333333,3,8.6666,9.6666,5,27.5,28.312475,-0.5001999999999995,-1.3126749999999987
Alexa PenaVega_S21,Alexa PenaVega,21,9,30.0,10.0,3,10.0,10.0,1,26.9998,28.499977777777776,3.0001999999999995,1.5000222222222241
Alexandra Raisman_S16,Alexandra Raisman,16,1,21.0,7.0,3,7.0,7.0,3,,21.0,,0.0
Alexandra Raisman_S16,Alexandra Raisman,16,2,24.0,8.0,3,8.0,8.0,3,21.0,22.5,3.0,1.5
Alexandra Raisman_S16,Alexandra Raisman,16,3,23.0,7.666666666666667,3,7.0,8.0,5,24.0,22.666666666666668,-1.0,0.33333333333333215
Alexandra Raisman_S16,Alexandra Raisman,16,4,27.0,9.0,3,9.0,9.0,1,23.0,23.75,4.0,3.25
Alexandra Raisman_S16,Alexandra Raisman,16,5,25.0,8.333333333333334,3,8.0,9.0,4,27.0,24.0,-2.0,1.0
Alexandra Raisman_S16,Alexandra Raisman,16,6,26.0,8.666666666666666,3,8.5,9.0,2,25.0,24.333333333333332,1.0,1.6666666666666679
Alexandra Raisman_S16,Alexandra Raisman,16,7,32.0,10.666666666666666,3,10.0,11.0,1,26.0,25.428571428571427,6.0,6.571428571428573
Alexandra Raisman_S16,Alexandra Raisman,16,8,28.0,9.333333333333334,3,9.0,9.5,2,32.0,25.75,-4.0,2.25
Alexandra Raisman_S16,Alexandra Raisman,16,9,29.5,9.833333333333334,3,9.5,10.0,1,28.0,26.166666666666668,1.5,3.333333333333332
Alexandra Raisman_S16,Alexandra Raisman,16,10,29.0,9.666666666666666,3,9.5,10.0,3,29.5,26.45,-0.5,2.5500000000000007
Alexis Ren_S27,Alexis Ren,27,1,22.0,7.333333333333333,3,7.0,7.5,3,,22.0,,0.0
Alexis Ren_S27,Alexis Ren,27,2,24.5,8.166666666666666,3,8.0,8.5,4,22.0,23.25,2.5,1.25
Alexis Ren_S27,Alexis Ren,27,3,26.0,8.666666666666666,3,8.0,9.0,6,24.5,24.166666666666668,1.5,1.8333333333333321
Alexis Ren_S27,Alexis Ren,27,4,25.0,8.333333333333334,3,8.0,9.0,4,26.0,24.375,-1.0,0.625
Alexis Ren_S27,Alexis Ren,27,5,29.0,9.666666666666666,3,9.0,10.0,2,25.0,25.3,4.0,3.6999999999999993
Alexis Ren_S27,Alexis Ren,27,6,27.0,9.0,3,9.0,9.0,4,29.0,25.583333333333332,-2.0,1.4166666666666679
Alexis Ren_S27,Alexis Ren,27,7,27.5,9.166666666666666,3,9.0,9.5,4,27.0,25.857142857142858,0.5,1.6428571428571423
Alexis Ren_S27,Alexis Ren,27,8,29.0,9.666666666666666,3,9.5,10.0,3,27.5,26.25,1.5,2.75
Alexis Ren_S27,Alexis Ren,27,9,28.5,9.5,3,9.5,9.5,3,29.0,26.5,-0.5,2.0
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,1,36.0,9.0,4,9.0,9.0,1,,36.0,,0.0
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,2,32.0,8.0,4,8.0,8.0,4,36.0,34.0,-4.0,-2.0
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,3,32.0,8.0,4,8.0,8.0,4,32.0,33.333333333333336,0.0,-1.3333333333333357
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,4,40.0,10.0,4,10.0,10.0,1,32.0,35.0,8.0,5.0
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,5,34.0,8.5,4,8.0,9.0,3,40.0,34.8,-6.0,-0.7999999999999972
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,6,39.0,9.75,4,9.0,10.0,1,34.0,35.5,5.0,3.5
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,7,34.0,8.5,4,8.5,8.5,3,39.0,35.285714285714285,-5.0,-1.2857142857142847
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,8,41.0,10.25,4,9.75,10.75,2,34.0,36.0,7.0,5.0
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,9,38.5,9.625,4,9.5,10.0,1,41.0,36.27777777777778,-2.5,2.2222222222222214
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,10,37.5,9.375,4,9.0,9.5,3,38.5,36.4,-1.0,1.1000000000000014
Alfonso Ribeiro_S19,Alfonso Ribeiro,19,11,40.0,10.0,4,10.0,10.0,1,37.5,36.72727272727273,2.5,3.2727272727272734
Alix Earle_S34,Alix Earle,34,1,13.0,6.5,2,6.0,7.0,5,,13.0,,0.0
Alix Earle_S34,Alix Earle,34,2,21.0,7.0,3,7.0,7.0,8,13.0,17.0,8.0,4.0
Alix Earle_S34,Alix Earle,34,3,23.0,7.666666666666667,3,7.0,8.0,4,21.0,19.0,2.0,4.0
Alix Earle_S34,Alix Earle,34,4,24.0,8.0,3,8.0,8.0,3,23.0,20.25,1.0,3.75
Alix Earle_S34,Alix Earle,34,5,35.0,8.75,4,8.0,9.0,3,24.0,23.2,11.0,11.8
Alix Earle_S34,Alix Earle,34,6,35.0,8.75,4,8.0,9.0,6,35.0,25.166666666666668,0.0,9.833333333333332
Alix Earle_S34,Alix Earle,34,7,43.0,10.75,4,10.0,11.0,1,35.0,27.714285714285715,8.0,15.285714285714285
Alix Earle_S34,Alix Earle,34,8,38.5,9.625,4,9.5,10.0,3,43.0,29.0625,-4.5,9.4375
Alix Earle_S34,Alix Earle,34,9,40.0,10.0,4,10.0,10.0,4,38.5,30.27777777777778,1.5,9.722222222222221
Alix Earle_S34,Alix Earle,34,10,29.0,9.666666666666666,3,9.5,10.0,2,40.0,30.15,-11.0,-1.1499999999999986
Alix Earle_S34,Alix Earle,34,11,30.0,10.0,3,10.0,10.0,1,29.0,30.136363636363637,1.0,-0.1363636363636367
Ally Brooke_S28,Ally Brooke,28,1,16.0,5.333333333333333,3,5.0,6.0,8,,16.0,,0.0
Ally Brooke_S28,Ally Brooke,28,2,20.0,6.666666666666667,3,6.0,7.0,4,16.0,18.0,4.0,2.0
Ally Brooke_S28,Ally Brooke,28,3,24.0,8.0,3,8.0,8.0,2,20.0,20.0,4.0,4.0
Ally Brooke_S28,Ally Brooke,28,4,32.0,8.0,4,8.0,8.0,1,24.0,23.0,8.0,9.0
Ally Brooke_S28,Ally Brooke,28,5,27.0,9.0,3,9.0,9.0,1,32.0,23.8,-5.0,3.1999999999999993
