season,week,rank_elim_contestant,pct_elim_contestant,diffprob_t
1,2,Trista Sutter_S1,Trista Sutter_S1,0
1,3,Evander Holyfield_S1,Evander Holyfield_S1,0
1,4,Rachel Hunter_S1,Rachel Hunter_S1,0
1,5,Joey McIntyre_S1,Joey McIntyre_S1,0
1,6,John O'Hurley_S1,John O'Hurley_S1,0
2,1,Kenny Mayne_S2,Kenny Mayne_S2,0
2,2,Tatum O'Neal_S2,Tatum O'Neal_S2,0
2,3,Giselle Fernandez_S2,Giselle Fernandez_S2,0
2,4,Master P_S2,Master P_S2,0
2,5,Tia Carrere_S2,Tia Carrere_S2,0
2,6,George Hamilton_S2,George Hamilton_S2,0
2,7,Lisa Rinna_S2,Lisa Rinna_S2,0
2,8,Drew Lachey_S2,Drew Lachey_S2,0
3,1,Tucker Carlson_S3,Tucker Carlson_S3,0
3,2,Shanna Moakler_S3,Shanna Moakler_S3,0
3,3,Harry Hamlin_S3,Harry Hamlin_S3,0
3,4,Vivica A. Fox_S3,Vivica A. Fox_S3,0
3,5,Sara Evans_S3,Sara Evans_S3,0
3,7,Jerry Springer_S3,Jerry Springer_S3,0
3,8,Monique Coleman_S3,Monique Coleman_S3,0
3,9,Joey Lawrence_S3,Joey Lawrence_S3,0
3,10,Emmitt Smith_S3,Emmitt Smith_S3,0
4,2,Shandi Finnessey_S4,Paulina Porizkova_S4,1
4,3,Shandi Finnessey_S4,Shandi Finnessey_S4,0
4,4,Leeza Gibbons_S4,Leeza Gibbons_S4,0
4,5,Clyde Drexler_S4,Clyde Drexler_S4,0
4,6,Heather Mills_S4,Heather Mills_S4,0
4,7,John Ratzenberger_S4,John Ratzenberger_S4,0
4,8,Billy Ray Cyrus_S4,Billy Ray Cyrus_S4,0
4,9,Ian Ziering_S4,Ian Ziering_S4,0
4,10,Apolo Anton Ohno_S4,Apolo Anton Ohno_S4,0
5,1,Josie Maran_S5,Josie Maran_S5,0
5,2,Albert Reed_S5,Albert Reed_S5,0
5,3,Wayne Newton_S5,Wayne Newton_S5,0
5,4,Floyd Mayweather Jr. _S5,Floyd Mayweather Jr. _S5,0
5,5,Mark Cuban_S5,Mark Cuban_S5,0
5,6,Sabrina Bryan_S5,Sabrina Bryan_S5,0
5,7,Jane Seymour_S5,Jane Seymour_S5,0
5,8,Cameron Mathison_S5,Cameron Mathison_S5,0
5,9,Jennie Garth_S5,Jennie Garth_S5,0
5,10,Helio Castroneves_S5,Helio Castroneves_S5,0
6,2,Monica Seles_S6,Monica Seles_S6,0
6,3,Steve Guttenberg_S6,Steve Guttenberg_S6,0
6,4,Adam Carolla_S6,Adam Carolla_S6,0
6,5,Priscilla Presley_S6,Priscilla Presley_S6,0
6,6,Marlee Matlin_S6,Marlee Matlin_S6,0
6,7,Shannon Elizabeth_S6,Shannon Elizabeth_S6,0
6,8,Mario_S6,Mario_S6,0
6,9,Marissa Jaret Winokur_S6,Marissa Jaret Winokur_S6,0
6,10,Cristian de la Fuente_S6,Cristian de la Fuente_S6,0
7,1,Jeffrey Ross_S7,Jeffrey Ross_S7,0
7,2,Kim Kardashian_S7,Kim Kardashian_S7,0
7,4,Rocco DiSpirito_S7,Rocco DiSpirito_S7,0
7,5,Toni Braxton_S7,Toni Braxton_S7,0
7,6,Cloris Leachman_S7,Cloris Leachman_S7,0
7,7,Susan Lucci_S7,Susan Lucci_S7,0
7,8,Maurice Greene_S7,Maurice Greene_S7,0
7,9,Cody Linley_S7,Cody Linley_S7,0
7,10,Brooke Burke_S7,Brooke Burke_S7,0
8,2,Steve Wozniak_S8,Belinda Carlisle_S8,1
8,3,Denise Richards_S8,Denise Richards_S8,0
8,4,Holly Madison_S8,Holly Madison_S8,0
