season,week,n_contestants,n_H,P_bar_rank,P_bar_pct,delta_jfeg
4,2,11,1,0.0,0.0,0.0
8,2,13,1,0.0,0.0,0.0
11,6,7,2,0.0,0.5,0.5
14,9,4,1,0.0,1.0,1.0
15,6,8,1,0.0,1.0,1.0
17,5,9,1,0.0,1.0,1.0
17,7,8,0,,,
19,4,10,1,0.0,0.0,0.0
19,6,9,0,,,
20,2,12,0,,,
20,5,9,0,,,
20,7,7,1,0.0,1.0,1.0
20,9,4,1,0.0,1.0,1.0
21,7,8,1,0.0,1.0,1.0
21,9,6,1,0.0,1.0,1.0
22,8,6,1,0.0,1.0,1.0
23,2,13,0,,,
23,10,5,1,0.0,1.0,1.0
24,9,4,1,0.0,1.0,1.0
27,4,10,2,0.0,0.5,0.5
28,2,12,0,,,
28,4,10,0,,,
28,6,9,1,0.0,1.0,1.0
28,7,8,0,,,
29,10,6,1,0.0,1.0,1.0
30,3,14,1,0.0,0.0,0.0
30,5,11,2,0.0,0.5,0.5
31,8,8,1,0.0,0.0,0.0
34,4,11,0,,,
34,7,9,0,,,
