pro_id,intercept
Alan Bersten,-0.06680859
Alan Bersten (Rashad Jennings week 9),-0.06179504
Alec Mazo,0.20339138
Allison Holker,-0.01191660
Anna Trebunskaya,0.08755636
Artem Chigvintsev,-0.10622313
Ashly DelGrosso,0.37326675
Brandon Armstrong,-0.11717902
Britt Stewart,-0.19962664
Chelsie Hightower,-0.02073418
Cheryl Burke,0.04671754
Corky Ballas,0.10678742
Daniella Karagach,-0.12192449
Daniella Karagach (Rumer Willis week 9),-0.08848409
Derek Hough,0.06028636
Dmitry Chaplin,0.02894073
Edyta Sliwinska,0.15132282
Emma Slater,-0.04988957
Ezra Sosa (Apolo Anton Ohno week 9),-0.15809949
Gleb Savchenko,-0.10722035
Jenna Johnson,-0.02237291
Jonathan Roberts,0.18014519
Julianne Hough,0.07506480
Karina Smirnoff,0.05408749
Keo Motsepe,-0.01704218
Kym Johnson,0.10252087
Lacey Schwimmer,0.06678271
Lindsay Arnold,-0.02030321
Louis van Amstel,0.11065887
Maksim Chmerkoskiy,0.06123674
Mark Ballas,-0.00758230
Pasha Pashkov,-0.10821668
Peta Murgatroyd,-0.01281297
Rylee Arnold,-0.04165849
Sasha Farber,-0.06935517
Sharna Burgess,-0.02715386
Tony Dovolani,0.07210651
Tristan MacManus,0.06461561
Val Chmerkovskiy (Joey Graziadei week 9),-0.11199018
Valentin Chmerkovskiy,-0.07868717
Witney Carson,-0.02830641
Witney Carson (Xoshitl Gomez week 9),-0.19010543
