pro_id,intercept
Alan Bersten,-0.01332897
Alan Bersten (Rashad Jennings week 9),0.19049032
Alec Mazo,-0.12263804
Allison Holker,0.00088023
Anna Trebunskaya,-0.16980957
Artem Chigvintsev,0.42948661
Ashly DelGrosso,-0.72908305
Brandon Armstrong,0.14171160
Britt Stewart,-0.35201367
Chelsie Hightower,-0.38756551
Cheryl Burke,0.15856407
Corky Ballas,-0.05753192
Daniella Karagach,-0.07984541
Daniella Karagach (Rumer Willis week 9),0.14499438
Derek Hough,0.65608790
Dmitry Chaplin,0.13056148
Edyta Sliwinska,-0.23062643
Emma Slater,-0.11517138
Ezra Sosa (Apolo Anton Ohno week 9),-0.07018440
Gleb Savchenko,-0.10553615
Jenna Johnson,0.04353295
Jonathan Roberts,0.14902496
Julianne Hough,-0.13649860
Karina Smirnoff,-0.11976211
Keo Motsepe,-0.24493110
Kym Johnson,0.21346891
Lacey Schwimmer,-0.52860572
Lindsay Arnold,-0.11188780
Louis van Amstel,-0.12399529
Maksim Chmerkoskiy,0.29917455
Mark Ballas,0.22799754
Pasha Pashkov,0.01954402
Peta Murgatroyd,-0.00594329
Rylee Arnold,-0.62462820
Sasha Farber,0.14420176
Sharna Burgess,-0.05141006
Tony Dovolani,0.28565158
Tristan MacManus,0.13040355
Val Chmerkovskiy (Joey Graziadei week 9),0.19425903
Valentin Chmerkovskiy,0.32470761
Witney Carson,0.16761074
Witney Carson (Xoshitl Gomez week 9),0.32864289
